,t,p,v,q,R,fa,pwm
0,18.7,"[0.48504020237157164, -1.5078273367510386, 2.3425198949184267]","[-0.19553762977488853, -0.05099306936488792, 0.050557927513765234]","[-0.002768097599837646, -0.06638727992000715, 0.05757877492234795, -0.996127170139067]","[[0.9845544151968523, 0.11507909718735812, 0.13194157922256539], [-0.11434403130653284, 0.9933536323385626, -0.013159750954032039], [-0.13257911389722193, -0.002130242038851967, 0.9911697211113246]]","[-1.8323222774638233, 0.1827544052529029, 0.6559537278917293]","[1569.5441222158515, 1719.0, 1610.3161833237775, 1732.7720611079258]"
1,18.71,"[0.48300702334656886, -1.5084206649495504, 2.343006438809949]","[-0.1953652858182104, -0.05153003291722511, 0.051472024543483576]","[-0.0026109852210698197, -0.06698282663052726, 0.05768448984104903, -0.9960817712926797]","[[0.9843715129137496, 0.11526671997476899, 0.13313951849173228], [-0.11456715529317783, 0.9933312765529309, -0.012929249932231266], [-0.133741971893572, -0.002526230796942327, 0.9910128791625444]]","[-1.8481826086586821, 0.17947800276320772, 0.6639072086942406]","[1566.917150992252, 1720.3234821205808, 1606.5562013230026, 1733.925064902663]"
2,18.72,"[0.4809795715539698, -1.5090535170025265, 2.3435154964870635]","[-0.19743483036904855, -0.05120775861463955, 0.05201390670903664]","[-0.002448788839218556, -0.06735459313722987, 0.057793060293988854, -0.9960507961027287]","[[0.9842465059488323, 0.1154595217819703, 0.13389414622896198], [-0.11479977307819209, 0.9933077952486378, -0.012663492270096267], [-0.1344602382330908, -0.0029070199789317883, 0.9909145884515634]]","[-2.1940623934630414, 0.23146969423852043, 0.7595969908775206]","[1562.4388746628983, 1725.7969309675686, 1600.5851662171979, 1741.886445043736]"
3,18.73,"[0.47903522741044197, -1.5096567328037793, 2.3440006880975406]","[-0.19961519889280055, -0.05095297586453425, 0.05315340567008485]","[-0.0022560452686519058, -0.06782743875733858, 0.05787281801672795, -0.996014486086878]","[[0.9841001217215842, 0.11559037373524794, 0.1348530957184192], [-0.11497828664607487, 0.9932910651378368, -0.012344837577178552], [-0.13537535050749994, -0.0033566225017983104, 0.9907884683714704]]","[-2.233219175599106, 0.20196677941482166, 1.0010177716517692]","[1560.879237703801, 1729.2952858610747, 1597.2919759213632, 1745.2985958007862]"
4,18.74,"[0.47736584606321353, -1.5101618966599137, 2.344406918499363]","[-0.20216223005024928, -0.05092148984106945, 0.056270127991910356]","[-0.001962235905441376, -0.0686347060098704, 0.05785724842659664, -0.9959605257264018]","[[0.983883035110401, 0.1155164260890564, 0.13648785662082968], [-0.11497771615108848, 0.9932967801090264, -0.011850649480564225], [-0.1369419749018405, -0.0040334114646337635, 0.9905702567618977]]","[-2.2313329849435948, 0.13392961160378555, 1.1372053329289908]","[1568.9759591135808, 1726.2590153324072, 1602.8584718905868, 1733.659558774228]"
5,18.75,"[0.4754639260246987, -1.5107401384554573, 2.344865555362383]","[-0.2036630210564156, -0.05174085289668788, 0.058489844667130204]","[-0.001743348666158563, -0.06940636987875907, 0.05786041513024425, -0.9959075086099284]","[[0.983669733151415, 0.1154892427636976, 0.13804290806014685], [-0.11500524475429344, 0.9932981429817657, -0.011504190801241394], [-0.13844639157030963, -0.004559334694231729, 0.9903593099003599]]","[-1.8771494074147166, -0.16059510968386753, 0.8394172070567745]","[1574.6197227057298, 1723.49296360764, 1606.8732409019099, 1726.1408318828105]"
6,18.759999999999998,"[0.4728861552855148, -1.511530774052135, 2.345476506420189]","[-0.2021230185696629, -0.05503312462433369, 0.0581025031731829]","[-0.0017422151678653218, -0.0700745560354071, 0.05791803701813851, -0.9958572329388319]","[[0.9834697212946841, 0.11560036207307713, 0.1393666955805033], [-0.11511202225545188, 0.9932845374744207, -0.011587156613485505], [-0.13977031831084724, -0.004647166308467817, 0.9901726486913708]]","[-1.7208935994188246, -0.33341736487503765, 0.5752919401562089]","[1573.1342070773137, 1721.5122761030848, 1606.3780690257713, 1730.5973787680591]"
7,18.77,"[0.47043864956417736, -1.512282150129705, 2.346050533574492]","[-0.20215748809984224, -0.057727831416908806, 0.0566351071111226]","[-0.0016788235242331132, -0.07075254131410098, 0.0579721220726865, -0.99580633932404]","[[0.9832663948463565, 0.11569557538961141, 0.14071700840316492], [-0.11522045126658186, 0.9932726021543126, -0.011546916140103034], [-0.1411063082523063, -0.004859783707952394, 0.9899822918247263]]","[-2.355147687970343, -0.08190816234311285, 0.19372511835954143]","[1573.0082529367019, 1719.327831375532, 1604.7676908551423, 1734.3360843122339]"
8,18.779999999999998,"[0.4684117072043214, -1.5129067760206234, 2.3465053511264564]","[-0.2072751737915093, -0.058493287195283655, 0.051680732063805426]","[-0.0014144301434040763, -0.07146216326528859, 0.05801478838607364, -0.9957534506649757]","[[0.9830543786738011, 0.11573900792573295, 0.14215327559587704], [-0.11533469497439179, 0.9932640590056494, -0.011108571950931855], [-0.1424815070577029, -0.005474877166855195, 0.9897818087915017]]","[-2.7992497668293193, 0.07057050576689282, -0.14292349439727303]","[1577.27167177511, 1716.4855521499267, 1599.556845608199, 1735.7572239250367]"
9,18.79,"[0.46635980206883365, -1.5135470287821915, 2.3469588909755688]","[-0.21197458032978214, -0.05965977166869565, 0.04742199653488268]","[-0.001165361871436707, -0.07215965308324292, 0.058071137475832084, -0.9957004868639424]","[[0.9828415450685525, 0.1158111039315765, 0.1435634556349457], [-0.11547473549813926, 0.9932528599981576, -0.01070148903433511], [-0.1438341511927269, -0.006060083503286292, 0.9895833429474437]]","[-2.477585781749134, -0.24475260014339498, 0.3278095875463283]","[1579.5410629542869, 1713.682839772671, 1595.7611845455895, 1738.0149127274526]"
10,18.8,"[0.46413396485790764, -1.514296164229118, 2.347403528228585]","[-0.21375956091086565, -0.06362048681055929, 0.04801023904156134]","[-0.0010230737119871162, -0.07277261034985, 0.05822282346751144, -0.9956469994993915]","[[0.9826282443023013, 0.11608766246482427, 0.14479252980087848], [-0.11578985548641782, 0.9932178565769232, -0.010511294234551978], [-0.14503079476138758, -0.00643681314812527, 0.9894059452877191]]","[-2.251369054310371, -0.4670604603300933, 0.7320545774853375]","[1567.9167519916343, 1711.1558156503552, 1601.8260424391474, 1746.101389918863]"
11,18.81,"[0.46188156764574684, -1.5150471800220342, 2.3478569202517954]","[-0.21556359536274286, -0.06655693912589443, 0.04875508636793639]","[-0.000910225627596508, -0.07342351789662323, 0.05832018693933825, -0.9955937086566868]","[[0.9824154040425138, 0.11626008634428966, 0.14609381591312265], [-0.11599275847365847, 0.9931957729817591, -0.010376576395536165], [-0.14630615402815628, -0.006751716762363493, 0.9892162354304063]]","[-2.3286865048670236, 0.18589468720025792, 0.7821664332930869]","[1559.456654443403, 1710.213878702836, 1606.352598025154, 1752.2716727782984]"
12,18.82,"[0.459474921620149, -1.515809116038007, 2.3483611561323725]","[-0.2174782863215736, -0.06354492313217347, 0.050409425655637094]","[-0.0009683525595481974, -0.07429482399056925, 0.0581020690918769, -0.9955415591264891]","[[0.9822083623501334, 0.11582993607034915, 0.14781464324655846], [-0.11554216173845934, 0.9932459286803537, -0.010561436427171254], [-0.14803969639583914, -0.006705295559504298, 0.9889581878022887]]","[-2.30257033775186, 0.5729927000972126, 0.7722494961297208]","[1569.372917660475, 1718.477431383729, 1601.9453699286778, 1747.3135411697626]"
13,18.83,"[0.4571832147078553, -1.5165520169390523, 2.3488306387628457]","[-0.21844743180390597, -0.06238165449462441, 0.05041044964748978]","[-0.0010118731748433262, -0.07503955451170771, 0.05788297659383631, -0.9954986494960659]","[[0.982037211315135, 0.11539671108047805, 0.1492864098877921], [-0.1150929890314277, 0.9932970330231221, -0.010701662312861819], [-0.14952069081297367, -0.006672388796790508, 0.9887360414992162]]","[-2.0772327817474, 0.017107185674180958, 0.32246484239204065]","[1577.382064488124, 1724.0, 1598.2321863954867, 1743.8464372790972]"
14,18.84,"[0.4551230885435498, -1.5172565656549604, 2.3492301001148967]","[-0.21751148055796185, -0.06494326491069502, 0.04708035351956191]","[-0.0010259648025686516, -0.0755292590022339, 0.057661920357746, -0.9954743565300633]","[[0.9819406810879502, 0.11495690685143069, 0.15025656280741143], [-0.11464694540622915, 0.993347913811251, -0.010752967537851805], [-0.15049319921035367, -0.006667680931213718, 0.9885883699990841]]","[-1.9441784746886976, -0.2632712880774014, 0.05788867370783457]","[1581.5487296115818, 1724.0, 1595.91737243801, 1743.383474487602]"
15,18.849999999999998,"[0.45301956030979124, -1.5179745005444505, 2.3496482130383733]","[-0.21660711143612218, -0.06692870765501033, 0.044770280028065386]","[-0.0010205324304831801, -0.07603082587114664, 0.05744911785861499, -0.9954485900556694]","[[0.9818378493048803, 0.11453047059163639, 0.15125229945264732], [-0.1142201028975647, 0.9933971392972941, -0.010767582890779809], [-0.1514868142041568, -0.00670403261465754, 0.988436568617463]]","[-1.9936254654483314, 0.07595032438683891, 0.5804287985724681]","[1584.373767792589, 1724.5367704634953, 1592.3896886095145, 1744.341926158738]"
16,18.86,"[0.4507066479839134, -1.5187570141933808, 2.3501563065180457]","[-0.21585510358336282, -0.06613455149134193, 0.047381089719248995]","[-0.0009209106562253872, -0.07658962027229756, 0.057276133765415634, -0.9954157149521106]","[[0.9817067682174896, 0.11416819167851788, 0.15237153083865554], [-0.11388606288865782, 0.9934370119315256, -0.01060689255006423], [-0.1525825156463834, -0.006940136792969786, 0.9882661830628438]]","[-2.0454428995048355, 0.2828812080766693, 1.0547456887361335]","[1580.7264109278985, 1727.6630763475157, 1583.0107709574531, 1752.157690868789]"
17,18.87,"[0.44841897459029273, -1.5195429657386632, 2.3506486254043737]","[-0.2156450410086101, -0.06578240223204411, 0.05081127898516312]","[-0.0007720796853719628, -0.07721143440104826, 0.05708305119695644, -0.9953788678752686]","[[0.9815596063834703, 0.11375775251054396, 0.15362111499386552], [-0.11351929899062604, 0.9934816253739239, -0.010351952132081038], [-0.1537974056506984, -0.007277904919540886, 0.9880753636372979]]","[-2.236446959479802, 0.09791198150642627, 1.3344285518004657]","[1579.1296247535358, 1729.748972276992, 1577.7571940610558, 1756.493833661952]"
