,t,p,v,q,R,fa,pwm
0,21.0,"[0.7999073259126454, -1.4812415420341707, 1.8002135339449123]","[0.29868018262829726, 0.08959654745567698, 1.1400843329171344]","[-0.004813647062183185, 0.035569625649125, 0.019347646208839123, -0.9991668551982291]","[[0.9967180460421169, 0.03832061438792972, -0.07126624748149567], [-0.03900549288396518, 0.9992021001836762, -0.008242896128631294], [0.07089371652016231, 0.010995650259991776, 0.9974203664736832]]","[0.899026416830569, 0.10398444751499124, 1.8382042206691303]","[1553.7331352231008, 1637.5601188661396, 1620.0469242099691, 1650.7331352231008]"
1,21.010000726269155,"[0.8027157651159132, -1.4802840006860787, 1.8117669218315637]","[0.2873878542142715, 0.08962445933628302, 1.1159263835215725]","[-0.005065168294229071, 0.03877265724284767, 0.01946732353485472, -0.99904036172997]","[[0.9962250046601162, 0.03850450382405227, -0.07766810957413783], [-0.039290063960650205, 0.9991803306997611, -0.008611015404074485], [0.07727368849436886, 0.011630214855484659, 0.9969316461716399]]","[0.9836025826713869, 0.1090514116709114, 1.7953825138669224]","[1558.663734324868, 1634.6017594050793, 1613.6371453776717, 1655.663734324868]"
2,21.02000145253831,"[0.8055013090772472, -1.4793204273228895, 1.8233161664710962]","[0.2768185920511542, 0.08967526355887616, 1.0933582095600771]","[-0.005325186578391422, 0.04195043347613722, 0.019585349908252198, -0.9989125355329797]","[[0.9957111864571566, 0.03868131530169597, -0.08401821902564069], [-0.03957489084291528, 0.9991741489706388, -0.008995563417548329], [0.0836010364557826, 0.012282019091280344, 0.9964216430950246]]","[-0.08569450216314167, 0.13386310477139157, -0.6692084651921917]","[1562.8191856132853, 1632.0, 1608.6629860846206, 1659.5178283020941]"
3,21.030002178807464,"[0.808119809006943, -1.4783128442862665, 1.8348351819169462]","[0.27152483219725787, 0.08989309065505072, 1.0823890612245497]","[-0.0056471994833864544, 0.04494394621750237, 0.01969133090636302, -0.9987749857269965]","[[0.9951756561615016, 0.03882680263017492, -0.09000018023124487], [-0.03984203234961824, 0.9991517910406948, -0.009510550932420373], [0.08955537673635844, 0.01305057540124686, 0.995887371463219]]","[0.4305475060324776, 0.15384909703940405, 0.3657967348324149]","[1561.3191467247284, 1632.0, 1614.1631286759962, 1655.5177245992757]"
4,21.040002905076623,"[0.8107065868934742, -1.4773143286879766, 1.8462322758359888]","[0.26588550386976995, 0.09014501943182307, 1.0704783504951427]","[-0.005976886901233909, 0.04789325900443437, 0.01978966896669431, -0.9986376705007027]","[[0.9946275248642231, 0.0389529126489573, -0.09589258643620387], [-0.04009792301856133, 0.9991436070262945, -0.010041905340920974], [0.09541946398329672, 0.013833072306656606, 0.9953393405057855]]","[0.19474763109976134, 0.1830036963082189, -0.39429037101480624]","[1560.2905026050532, 1632.2324020840426, 1618.6513968739362, 1652.5810052101065]"
5,21.050003631345778,"[0.8130620334251374, -1.4763819369135496, 1.8567402633428807]","[0.25772613536776534, 0.09064563294604311, 1.0517013448322499]","[-0.006362540306101913, 0.05052024591560167, 0.01983227129958556, -0.9985020659346296]","[[0.994101243362597, 0.0389622535278001, -0.10114150708751793], [-0.04024800193144888, 0.9991248700190493, -0.01070215683423024], [0.10063677258549728, 0.014709881726710205, 0.9948069174941042]]","[0.10797803763070823, 0.2216595564779471, -0.9412184011793094]","[1562.6994803937123, 1634.1595843149698, 1615.7606235275452, 1657.3989607874248]"
6,21.060004357614933,"[0.8154523578961844, -1.4754257940195388, 1.8674763473554028]","[0.24923718455663746, 0.09109304461293254, 1.0327023244085576]","[-0.006760062454366225, 0.05318870726093456, 0.0198763683682634, -0.9983632562689472]","[[0.9935507813127221, 0.038968553727979256, -0.10647203293859574], [-0.04040678965978294, 0.9991174615841271, -0.011383599251944907], [0.10593457097245394, 0.015612392606145154, 0.9942495244629701]]","[-0.42822046754138765, 0.12422268376697718, -1.2955768481780314]","[1565.0473532170993, 1635.810587131603, 1613.0, 1661.810587131603]"
7,21.070005083884087,"[0.8185824825521977, -1.47396586325928, 1.8830506138992427]","[0.23375742357844853, 0.09041198547016455, 1.0089941220777372]","[-0.007409333952363064, 0.05673688783879881, 0.019952170458250748, -0.9981564628483253]","[[0.9927540590078703, 0.038990010682677975, -0.11356024714439446], [-0.04067154088033968, 0.9990824114318998, -0.0125273010250447], [0.11296891796839585, 0.01705539725476617, 0.9934404407606251]]","[-0.92911417262985, 0.04406309476437474, -1.6474835267294754]","[1566.0991212415986, 1631.603515033606, 1613.0, 1657.603515033606]"
8,21.080005810153242,"[0.8214381484497999, -1.4726322626098707, 1.8972674696337004]","[0.21893380064763618, 0.0898790325647775, 0.9860705341730386]","[-0.007990322518259752, 0.059954919745703994, 0.020027855920947888, -0.9979679815789232]","[[0.9920082300961517, 0.03901619960691459, -0.11998623854500831], [-0.04093243618821281, 0.9990697243916877, -0.0135466350825867], [0.11934612243237785, 0.018349709060262512, 0.9926827696138406]]","[-0.37001897033885256, 0.15974779452477392, -1.0887512741137702]","[1566.2700786966861, 1628.583937042651, 1612.5620472180117, 1654.948897694308]"
9,21.090006536422397,"[0.8226551685251766, -1.472052911194711, 1.9033799545522454]","[0.20802762555620613, 0.09023034244821494, 0.9678314575547211]","[-0.00816363037444613, 0.06120181127613704, 0.020102845064741005, -0.9978888323281675]","[[0.9916989804629873, 0.03912155124524695, -0.12247343237459314], [-0.041120067107266914, 0.999057014148166, -0.013832130104298217], [0.12181698358825992, 0.018753452223361024, 0.9923739395006]]","[-0.009638308973491494, 0.2364039041195568, -0.759995007112007]","[1561.182189365121, 1632.654248507903, 1609.5093136190726, 1661.5631538253424]"
10,21.100007262691552,"[0.8239538151252824, -1.4714002943818714, 1.910157854634581]","[0.19693233302875265, 0.09052317834026712, 0.9491492885871162]","[-0.008367799772001281, 0.06252535802622132, 0.020168861058515786, -0.9978040217472302]","[[0.9913666825352664, 0.03920274200322407, -0.12511364538143213], [-0.04129554070976853, 0.9990454831818321, -0.014176718014027243], [0.12443856941756423, 0.01922097904868649, 0.9920402083020131]]","[-0.1206648499097629, 0.20236497059356787, -1.0900858001522291]","[1557.7999924217606, 1635.8222239062754, 1607.5333282811737, 1666.4666717188263]"
11,21.11000798896071,"[0.8256293829976448, -1.4704093649066041, 1.9200083972304482]","[0.18496376573150375, 0.09054600284447754, 0.9284210821019891]","[-0.008714476417967446, 0.0642028703899577, 0.020193442345468535, -0.9976930692255228]","[[0.9909376187998137, 0.039174726143800076, -0.12846146817912502], [-0.0414127037437165, 0.9990297517339545, -0.014795791525004362], [0.12775756707065633, 0.01998169937153716, 0.9916012848288546]]","[-0.12047171203241525, 0.18844990003212023, -1.2507812072583029]","[1562.2940556422682, 1634.823543190607, 1610.5293704281787, 1663.4706295718213]"
12,21.120008715229865,"[0.8272727921153207, -1.4694271119987365, 1.929745623487995]","[0.1739407278727241, 0.09057745780314219, 0.908824987322875]","[-0.009064546714629806, 0.06582475391398054, 0.020221610817045637, -0.9975847956713023]","[[0.9905157787898236, 0.03915219987646956, -0.13169814683857642], [-0.04153888610379872, 0.9990172432312123, -0.015423142852781267], [0.13096494789499172, 0.020747473075886532, 0.9911692738636122]]","[0.40741035025879224, 0.20310669005337734, -0.685948653392499]","[1566.0863557090534, 1634.0, 1612.9136442909466, 1660.9136442909466]"
13,21.13000944149902,"[0.8287649822213623, -1.4684856586168253, 1.9389500062057423]","[0.16736382073490466, 0.09064949545243906, 0.8945523826762335]","[-0.009430574858825293, 0.0671850558487293, 0.020266647184122674, -0.997489119334217]","[[0.9901489102148372, 0.03916433270594403, -0.1344149766487529], [-0.04169870750024723, 0.9989987021892951, -0.01609055997562655], [0.13365047211512382, 0.02153702326735365, 0.9907925127066728]]","[0.7998299369726759, 0.2162561055498968, -0.23970965477520956]","[1566.578778913558, 1634.0, 1612.421221086442, 1660.421221086442]"
14,21.140010167768175,"[0.830207449106003, -1.4675404637946394, 1.9481220359095748]","[0.15991790510605483, 0.09082007277898711, 0.8799995949442281]","[-0.009787844348702248, 0.06849183898282678, 0.0203099507499643, -0.9973967774873923]","[[0.9897925075325138, 0.03917338393964351, -0.13702466024465448], [-0.04185493377612465, 0.9989831677530239, -0.016742597070856218], [0.13622949769797266, 0.022306860576919007, 0.9904258919374569]]","[0.26476652991027416, 0.2853603903310449, -0.46180302881296065]","[1566.856824276846, 1634.214763584731, 1612.4295271694618, 1660.071587861577]"
15,21.15001089403733,"[0.8313557608459669, -1.4665731351710989, 1.9571026700195453]","[0.1473310651524751, 0.09157359610544263, 0.8637892859638202]","[-0.010093298948963266, 0.06948201289280447, 0.02034300332273394, -0.9973241619864756]","[[0.9895157708658743, 0.03917453202686184, -0.13900283659101162], [-0.041979742937673016, 0.9989675217297997, -0.0173056361936104], [0.1381815245347872, 0.022959527470204657, 0.9901396970669055]]","[-0.14067014878256456, 0.3412989135626999, -0.5933963218600837]","[1565.866642378873, 1635.7000364316905, 1615.4000728633812, 1660.5666788105634]"
