,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[0.04513579870308704, -0.017207200923548653, 2.047031767787267]","[0.1498592475204972, -0.02657922880366683, 2.077409278355304]","[0.4533947856679178, -0.0880962570574872, -0.8517046962005139]","[0.6359163588244877, -0.1085520709977284, -0.6380496023604907]","[-0.015424057416146743, -0.11135550510743619, -0.0032701567837708436, -0.9936553539259871]","[[0.9751781214898327, -0.003063710183980335, 0.22139886585025853], [0.009933925001504806, 0.999502415430944, -0.029924094540757458], [-0.2211971095062878, 0.0313806943825067, 0.9747237062462604]]","[0.020018161761688465, 0.2466645413224915, -0.01846828417253413]",[0.43201257555186456],"[-0.01159045782448549, -0.11207492305080048, 0.0, -0.9936300500778934]",[0.4444618348922998],"[-5.581716366196243, 0.7544203426711209, 1.3637505052184835]","[872.9320508414187, 937.5871607353207, 892.6374947478635, 950.5083052879047]"
1,0.020000000000003126,"[0.05509649789163169, -0.01901099563458646, 2.0305649982841523]","[0.16250878808230532, -0.028732154784204957, 2.064795400320632]","[0.4996791619234859, -0.09465683940398792, -0.8758585184361009]","[0.662316070549169, -0.11241774465999492, -0.6566858032469737]","[-0.015649800565216296, -0.11325191617814481, -0.0030647805975212426, -0.9934382334956059]","[[0.9743290506304686, -0.0025446006420731027, 0.22511349350627194], [0.00963408024933934, 0.9994912111510496, -0.03040003590546426], [-0.2249216406857625, 0.031788405006803785, 0.9738580038752284]]","[0.014640500108249676, 0.16654632881958384, -0.018204274366862387]",[0.4360568204221567],"[-0.010415170201777488, -0.1052745841362173, 0.0, -0.9943860404760638]",[0.4444532314051158],"[-5.728606634391977, 0.7736091011752028, 1.1552543017391947]","[886.652409874292, 937.6336188701814, 901.718273343601, 953.1448872684472]"
2,0.03999999999999915,"[0.06510858840774184, -0.02081104220391165, 2.0150493680749317]","[0.17561935131373435, -0.03095159923173768, 2.0518681870766478]","[0.5407690324762098, -0.10328946503395683, -0.8880248621462655]","[0.6879489845502657, -0.11608542410044267, -0.6737304217512582]","[-0.015622317089068345, -0.11428096903927386, -0.0028496672520739036, -0.9933215573928911]","[[0.973863512684667, -0.002090604754608064, 0.227124537103741], [0.009231938896918217, 0.9994956788713151, -0.030384643211984908], [-0.2269464634821001, 0.03168729415201087, 0.9733916403090993]]","[0.00010530973011394504, 0.09057228638444219, -0.021678804540273943]",[0.4389431656099304],"[-0.008773050994412498, -0.09956775678773173, 0.0, -0.9949916871574317]",[0.4444446279179317],"[-0.8511164808654037, 0.045444136520257805, -0.14678877703553184]","[900.7267810238556, 940.1485368290253, 923.7585872663966, 947.116730586484]"
3,0.060000000000002274,"[0.07501459426484833, -0.02258180517208746, 2.0006953243885506]","[0.18938814243243413, -0.03326344862098139, 2.0385250646546655]","[0.576639505926361, -0.10479250048977408, -0.8954801972548192]","[0.712378010495142, -0.1194484142596409, -0.6883517743775842]","[-0.015500569088109688, -0.11455217267465094, -0.002694803778415981, -0.9932926662823497]","[[0.9737411263004674, -0.0018022099268681247, 0.2276512080331728], [0.008904705393814116, 0.9995049915453229, -0.030175811941345665], [-0.22748412406458784, 0.0314105944523433, 0.9732751149511651]]","[-0.014600419469516412, 0.03980871116628379, -0.02070814171955539]",[0.44181590458558273],"[-0.008516046716809784, -0.09457584712699034, 0.0, -0.9954691003080789]",[0.4444360244307476],"[-0.7992565371306242, 1.0809059074892062, -0.0796611761960655]","[910.0321735178825, 943.7874338169122, 941.8448344465738, 940.8803453474898]"
4,0.0799999999999983,"[0.0862278840870119, -0.024527812313537383, 1.9848268416021746]","[0.20464038175780444, -0.035813947153696755, 2.023872150253832]","[0.6182118857976358, -0.10265448970671705, -0.9043391832551653]","[0.7381206029185852, -0.12291487201299876, -0.7028113659965066]","[-0.015338801356286411, -0.1145684123195774, -0.0025268157542362208, -0.993293709686168]","[[0.9737353666298725, -0.0015050561518872674, 0.22767768322137136], [0.008534424624987725, 0.9995166511786346, -0.029892883264276034], [-0.2275226499216987, 0.031050856341023787, 0.973277578571489]]","[-0.027771599903547137, -0.016577558124738198, -0.02002260556935178]",[0.445043903072368],"[-0.008925003822579538, -0.08791817915653352, 0.0, -0.9960852079006056]",[0.4444274209435635],"[-0.402672279716386, -0.07339258211141308, -1.2372917645361774]","[917.4102428783054, 945.9622103140832, 938.2619357688496, 951.8323516881958]"
5,0.10000000000000142,"[0.09947571100864804, -0.026817935318317353, 1.9672841705694835]","[0.2174360280614993, -0.03794198308882528, 2.011722272737805]","[0.6589495639204266, -0.11706546155010873, -0.922711906725105]","[0.7583598638202197, -0.1255562698611652, -0.7131505763621422]","[-0.014890147254300344, -0.11365723449156435, -0.0023613358552122127, -0.993405429201851]","[[0.9741525203936771, -0.0013067818012817414, 0.22588574890117777], [0.00807627363366549, 0.9995450213277085, -0.02904714044205561], [-0.2257451063467739, 0.03012067205409238, 0.9737202392372099]]","[-0.04482159385101614, -0.09223288006810887, -0.01617185387574088]",[0.4500594903264349],"[-0.005785827738130512, -0.08036979728586664, 0.0, -0.9967402531622125]",[0.44441904831262363],"[-0.6246523762020555, -0.8788292831026313, -1.790623638137916]","[915.2364318124588, 960.7480816540075, 936.5334415077764, 965.0849471972166]"
6,0.11999999999999744,"[0.11288383070704283, -0.029142126287303748, 1.9504635401975996]","[0.23026082702365697, -0.0400521268776884, 1.9998233635527582]","[0.6990127819164054, -0.12433376362181771, -0.9338309727926476]","[0.7761896314554628, -0.12772061385373354, -0.7202665583002469]","[-0.014359266892687733, -0.1122135833041366, -0.0021971767300901558, -0.9935770265056949]","[[0.9748047802820562, -0.0011435190610830743, 0.2230487765599018], [0.007588738227678857, 0.9995761797465741, -0.02804096925600493], [-0.22292257717159075, 0.029027181552148458, 0.9744020583618318]]","[-0.05733116476562356, -0.15694696635424513, -0.014462843938832019]",[0.4544918719243417],"[-0.004053385065336688, -0.0728064569277395, 0.0, -0.9973232429908856]",[0.44442085596020453],"[-0.6015850167830026, 0.022931102114310487, -0.7914727144617828]","[920.9084444932373, 968.6621943330849, 949.8670478320565, 964.8922424844084]"
7,0.14000000000000057,"[0.12823400902954224, -0.03174180396443245, 1.9319133817816725]","[0.24986080266712427, -0.0432671718074687, 1.9817592414568381]","[0.7411721581873124, -0.12919743210888135, -0.9360998562868538]","[0.8024279920768287, -0.13082941060428183, -0.7298040075188337]","[-0.013715011796968655, -0.11021087040973014, -0.0019867099070511288, -0.9938116601020255]","[[0.9756993343306097, -0.0009257441660879807, 0.21911219166599094], [0.00697191771738251, 0.9996160031463684, -0.02682236322831309], [-0.2190032006667415, 0.027698191340744045, 0.9753310252659373]]","[-0.06411071788616503, -0.21968684417576975, -0.016458464261986053]",[0.45837793582066494],"[-0.002728619932756838, -0.06445990498146634, 0.0, -0.997916564778097]",[0.44443722382677003],"[0.6375019701118569, 0.1148690523603012, 0.2910706121127298]","[921.1382703123444, 976.791814321512, 953.1379957733111, 970.2208063534447]"
8,0.1599999999999966,"[0.14492932184509344, -0.034542539621498766, 1.912914670577035]","[0.26828475153146736, -0.04625963069057758, 1.9651426594813253]","[0.7935530813590232, -0.13427601731203534, -0.9313190781981414]","[0.82425535141298, -0.13319285512815254, -0.7350089519265282]","[-0.012990576909221903, -0.10717193351042424, -0.001800435195089195, -0.9941535579001216]","[[0.9770209868746503, -0.0007953676203786811, 0.21313749539659083], [0.00636426859948741, 0.9996551233625071, -0.025443344264920384], [-0.2130439406291033, 0.026215168748992095, 0.9766899598315649]]","[-0.07119832978717396, -0.291643769393764, -0.017769039187395842]",[0.4615959377560671],"[-0.0012595407492351626, -0.053665035431331, 0.0, -0.9985561852387486]",[0.44445359169333554],"[-0.14181535985499671, -0.2541342278992259, -0.9300303978370046]","[910.0166733098222, 1005.7901886578298, 935.2157812133389, 1005.162309925868]"
9,0.17999999999999972,"[0.16112792733690107, -0.037288972889649254, 1.8954011207304675]","[0.28405019019982936, -0.04879750326163396, 1.9512029878981092]","[0.8253455734275575, -0.14189891092565327, -0.9429859546687841]","[0.8409071564952384, -0.1348158524893714, -0.7367735828589573]","[-0.012169619863506027, -0.10372843767926171, -0.0016541615609515902, -0.9945296506353646]","[[0.9784750006066724, -0.0007655541274312881, 0.2063622748069959], [0.005814896749799249, 0.9996979788781888, -0.02386292839366249], [-0.20628175273743746, 0.024549262771208877, 0.9781842738123673]]","[-0.08522101996586422, -0.3449697871067622, -0.014385594791993306]",[0.4680838149411134],"[0.0007501284327923213, -0.04644078670551919, 0.0, -0.9989195358375349]",[0.44446995955990104],"[-1.251207799309272, 0.2572012244276406, -1.5490286937358952]","[955.5525714697177, 984.053991770706, 969.1486613507708, 990.4804898705373]"
