,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.0,"[-0.39722633427264986, -0.06855505641994655, 2.068472347979124]","[-0.509065906800543, -0.07577383132344523, 2.0204031747281093]","[-1.476475642420894, -0.21957276893647182, -0.6516786191594596]","[-1.2296336353185822, -0.23860513607358225, -0.5065262004781649]","[-0.026159499439236282, 0.12756392654308693, -0.0007639672584485637, -0.9914675020361297]","[[0.967418988003612, -0.008188914348484098, -0.2529110051970515], [-0.005159119510998546, 0.9985954598919694, -0.05206749645354637], [0.2529909452013274, 0.05167767780059415, 0.9660515164737332]]","[-0.024372952589149822, 1.2220032684071298, 0.028595799330045298]",[0.4308319753765859],"[-0.019955790271141898, -0.009294697250973587, 0.0, -0.9997443113970683]",[0.4254169344970889],"[6.643414350314139, 1.3676983050022418, 0.5615971398486685]","[861.6809173298741, 953.7260202919217, 848.4518808806524, 968.6843315706979]"
1,0.019999999999999574,"[-0.42862329608643457, -0.0735957612289287, 2.0546346060942344]","[-0.5338047828018251, -0.0806409916653744, 2.010241107498715]","[-1.5104914511367762, -0.2374935942976817, -0.6682046798690554]","[-1.2299597328905922, -0.24601648422506137, -0.5035000820622547]","[-0.02595316863623119, 0.11650593013651928, -0.0008310344086657833, -0.9928475110489404]","[[0.9728454247831726, -0.00769757699238781, -0.23130210956466857], [-0.004397215215428407, 0.9986455543726023, -0.05172871864214524], [0.23138838146927104, 0.051341436895117006, 0.9714996720950281]]","[-0.03463041374090403, 1.2762997751384766, 0.030323008536973287]",[0.43645813959630364],"[-0.017161245000181263, -0.025200492079997645, 0.0, -0.9995274473256466]",[0.4254425096860447],"[6.1547691343298245, 1.3764609473572205, 0.08678975451061888]","[869.994737420193, 961.7817418575117, 864.3106430803621, 974.8908707908653]"
2,0.03999999999999915,"[-0.4569496718426773, -0.07828552291266248, 2.042188631501959]","[-0.5552327841612356, -0.08501161159984352, 2.001505658850799]","[-1.5341445310895652, -0.24788806088745916, -0.6724528714865081]","[-1.2266053660589282, -0.25225042448753215, -0.4991570980924695]","[-0.025687788582839672, 0.10755663541883805, -0.0008061847927984527, -0.9938266822216008]","[[0.9767822570213303, -0.007128200138410144, -0.21374389004941202], [-0.003923368306872564, 0.9985993917020186, -0.0512318404494654], [0.21382672646747647, 0.05088499835410846, 0.9754638319246172]]","[-0.04174449179700564, 1.3454433739908844, 0.031566621527027675]",[0.44101042267223406],"[-0.01588700609839756, -0.03919006203712344, 0.0, -0.9990633550249659]",[0.42546808487500065],"[2.820116624974667, -0.25151138069717804, -0.5857825765478211]","[876.8008884267623, 975.8535045686122, 900.8990521939115, 958.4860606167425]"
3,0.05999999999999872,"[-0.4879205244352953, -0.08349418502382713, 2.02872034237843]","[-0.5793146505605788, -0.09004627915879022, 1.9917411153188112]","[-1.5560514292183216, -0.2620338159485804, -0.6736976344061869]","[-1.220051998305143, -0.2591173870925263, -0.49295708534015226]","[-0.02527209123986955, 0.09356274717236229, -0.0008635663061518152, -0.9952743617249757]","[[0.9824550002974897, -0.006448023374710459, -0.18619755869345483], [-0.0030100817580606875, 0.9986856184230959, -0.050466924228371145], [0.18628485519937782, 0.050143733684494936, 0.9811791345997474]]","[-0.06043138243332996, 1.4181266726300241, 0.032578004738595595]",[0.44696919893778164],"[-0.013817016483072504, -0.05348526440579161, 0.0, -0.9984542294231668]",[0.42549366006395656],"[2.2766861328662262, 0.03855575717266713, -0.5308713640936098]","[902.0146192895957, 966.4856474773131, 922.800632821938, 947.8560233779795]"
4,0.0799999999999983,"[-0.5172408659197426, -0.08861326915453004, 2.0161312500366972]","[-0.6044539833740076, -0.09547326927889323, 1.981621450769873]","[-1.5753199396432331, -0.2680379627075169, -0.668577811480209]","[-1.2096116783411566, -0.2661144414383823, -0.4847755511068991]","[-0.024407900729526318, 0.07680290684285986, -0.0008481691724525798, -0.996717484668954]","[[0.988142083972371, -0.005439965540200529, -0.15306019618943242], [-0.0020584253636377944, 0.9987479657353522, -0.04878584655824372], [0.15314300430528469, 0.04852527912648828, 0.9869520315182164]]","[-0.08275851492158814, 1.4877237883944365, 0.028594424031541985]",[0.45362560079511965],"[-0.013246936933871927, -0.06751779924397261, 0.0, -0.997599764139908]",[0.4255192352529125],"[2.2336751920331004, 0.41311411302013634, -0.3640337124838844]","[928.5123346438024, 951.4445373713431, 943.9723712665027, 937.8778019597164]"
5,0.10000000000000142,"[-0.5496662830435205, -0.09441102348136135, 2.0023898258421293]","[-0.629643705435545, -0.10112401653467379, 1.9715730630196884]","[-1.5860434181012197, -0.27737619318599877, -0.661299226835954]","[-1.1947869493953498, -0.272921100433141, -0.4745039022744202]","[-0.02369209900714787, 0.06375115208680926, -0.0009007335591136995, -0.9976664802530631]","[[0.9918347006625602, -0.004818060573254411, -0.12716209449172625], [-0.0012235338549872951, 0.9988404883366222, -0.04738847165677011], [0.1272474555663726, 0.047158780448303114, 0.9907136921937202]]","[-0.09576826394888835, 1.5250516261356977, 0.027787629924896425]",[0.45975521208022774],"[-0.011934355980667978, -0.08067392490568678, 0.0, -0.9966509671158108]",[0.4255448104418684],"[2.399158355902935, 0.1860765053740585, -1.7356045931878832]","[934.2536726481297, 963.7331239221461, 961.7833480000274, 940.9269363675992]"
6,0.120000000000001,"[-0.5719579044102263, -0.09848311714323198, 1.993021007782533]","[-0.6533618026437462, -0.10660121395569659, 1.9621790628540863]","[-1.5926668961929078, -0.28567787678205403, -0.6629850997048604]","[-1.1778315308183152, -0.27919623166337576, -0.46340533832233644]","[-0.022779845592070583, 0.04972123204254327, -0.0009599508417924564, -0.9984987689041048]","[[0.9950455904467644, -0.00418230344462975, -0.09924944290184555], [-0.00034826450967684244, 0.9989521495480241, -0.045586755436124546], [0.0993369130296536, 0.04539583568190776, 0.9940095907276046]]","[-0.10590529488270306, 1.5238317864306246, 0.030193184579872342]",[0.4675084662408452],"[-0.010991948714360945, -0.09188541831628122, 0.0, -0.995707311609504]",[0.42557038563082433],"[2.649991594253212, -0.23415658680537232, -0.8226842096645548]","[932.114687937363, 1000.0, 962.6285991680941, 974.3718862735511]"
7,0.14000000000000057,"[-0.6137662254369759, -0.106419925557397, 1.9758746305165658]","[-0.6737280884586044, -0.11156391497604262, 1.9542242380612562]","[-1.589143390636488, -0.29950271496378555, -0.6370660010162869]","[-1.1585455922803238, -0.28438090199276655, -0.45162126519853335]","[-0.021274301038889182, 0.030775664041480934, -0.0009464139970832999, -0.9992672433179497]","[[0.9980395822562999, -0.003200902494786267, -0.06146595734345727], [0.0005819795288255379, 0.9990286734813014, -0.04257567734373076], [0.06154649452858275, 0.04245917126685719, 0.997136181885821]]","[-0.12400183002788588, 1.5055104541724738, 0.029010879779351108]",[0.47453252956509756],"[-0.0085529747554137, -0.10465604905917823, 0.0, -0.9944457117947976]",[0.4255959608197802],"[2.334991392908805, -0.10366735525803672, 0.4993456464637269]","[951.685373310814, 1005.6717421629713, 972.20458332288, 993.0157934454807]"
8,0.16000000000000014,"[-0.6460862435095214, -0.11277298704501049, 1.9628793827010893]","[-0.6982348852555417, -0.1177091622179589, 1.9447268539665548]","[-1.5839632675196524, -0.3058890780502138, -0.6165577028468017]","[-1.1322991448961566, -0.29049258047204485, -0.43599029420013047]","[-0.020190701520771404, 0.017993085238615213, -0.0009824416817710605, -0.9996191051471586]","[[0.9993213034950449, -0.0026907209765638694, -0.03593279115660577], [0.0012375489226011584, 0.9991534768720512, -0.04040137628681792], [0.03601213590363859, 0.04033066765912961, 0.9985079050225593]]","[-0.1329680538403309, 1.5098593716025646, 0.026428256062181764]",[0.48059263380715456],"[-0.007614621416924419, -0.1160480827707091, 0.0, -0.9932025687289516]",[0.4256215360087361],"[2.464014768598816, -0.0046157627197394024, -0.9975379405502558]","[963.2193402691948, 1022.0979852242477, 996.8246142645122, 995.6386650095199]"
9,0.17999999999999972,"[-0.6781015822927537, -0.11931155720576328, 1.9503179216222604]","[-0.7238103160831401, -0.12440221749402053, 1.9349356917210574]","[-1.567009838126999, -0.31788960199355004, -0.5984060353636885]","[-1.1002545450755477, -0.2966840399322034, -0.4174526457887184]","[-0.01825817491020079, -0.003368875538745743, -0.0010408101926000384, -0.999799754242341]","[[0.9999204769258444, -0.0019581845118746507, 0.006774408460511678], [0.0022042225872231174, 0.9992764536685325, -0.036502024856268196], [-0.006698395282332433, 0.0365160502962615, 0.9992559215954554]]","[-0.1366924980768834, 1.4885912068150102, 0.030457503401299452]",[0.4895820432534745],"[-0.005632519386882938, -0.1256005226044152, 0.0, -0.9920600273550347]",[0.425647111197692],"[2.68845878756763, -0.24593376601657413, -0.19901404911207976]","[981.2564644469657, 1031.504618729028, 1014.0305688299738, 1005.7412951341981]"
