idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[-2.283995225513659e-16, 8.807491394691169e-05, -0.8520286679267883]","[-4.5957591908052375, 9.802044668969744, -6.088353382689404]","[-4.589705284124661e-14, 0.0056596738286316395, -0.011314705945551395]","[6.587338734488402, -3.9753731056954678, -6.053141828317177]","[1.0, -7.875658411649056e-06, -1.2432307554479272e-16, 2.113341619758291e-11]","[[1.0, -4.226683239058592e-11, -5.815252851402643e-16], [4.226683239450243e-11, 0.999999999875948, 1.5751316822321123e-05], [-8.423298299193844e-17, -1.5751316822321123e-05, 0.999999999875948]]","[-0.0022102571092545986, -3.0469807991810594e-14, 1.9567560904931725e-09]",[1.0],"[0.9560715742010631, 0.2490624198465971, 0.1495878004451216, -0.03896852554111888]",[0.594],"[-4.53713878040772e-12, 0.2748194786175884, 6.713997121784219]","[515.9779052734375, 515.9779052734375, 515.9779052734375, 515.9779052734375]"
1,0.03,"[-1.8856090547612414e-15, 0.0001942879898706451, -0.8521914482116699]","[-4.530264796423371, 9.762574238076855, -6.148615475606269]","[-1.920493251190633e-13, 0.008511435240507126, -0.007526838220655918]","[6.549439438186688, -3.947043089288904, -6.026209291686513]","[1.0, 0.00019106945546809584, 0.00014653390098828822, -4.095824568395301e-09]","[[0.9999999570556342, 6.418795075408733e-08, 0.00029306778341941424], [4.780465343040513e-08, 0.9999999269849306, -0.00038213888998023975], [-0.0002930677865497619, 0.0003821388875795313, 0.9999998840405648]]","[0.2628590166568756, 0.17332974076271057, -1.9770488961512456e-06]",[1.0],"[0.9579838689553329, 0.24956057725028769, 0.13680743826250677, -0.035639163008199026]",[0.594],"[0.004840058832766008, 0.27886505951969315, 7.083936372553422]","[515.9779052734375, 515.9779052734375, 515.9779052734375, 515.9779052734375]"
2,0.04,"[-2.138258423656225e-06, 0.00038265305920504034, -0.8521184921264648]","[-4.465148682539716, 9.723386438646775, -6.20860872066429]","[-0.0005216086865402758, 0.012862811796367168, 0.013309119269251823]","[6.511611388365424, -3.918779943007955, -5.999324505802051]","[0.9999236464500427, 0.01033677626401186, 0.0067689246498048306, -3.2719174214435043e-06]","[[0.9999083632936463, 0.00014648105948052013, 0.01353674845450981], [0.000133394388640169, 0.9997863020842642, -0.020672019025952677], [-0.013536883738827766, 0.020671930436499723, 0.9996946654207324]]","[2.0351569652557373, 1.323402762413025, -0.001354321138933301]",[1.0],"[0.9597294896108178, 0.24999776300951068, 0.12400416977916057, -0.03230156558095647]",[0.594],"[0.17140058311389994, 0.09373612924830094, 8.783704617302869]","[515.9779052734375, 515.9779052734375, 515.9779052734375, 515.9779052734375]"
3,0.05,"[-3.098950401181355e-05, 0.0006307808798737824, -0.8520550727844238]","[-4.400410136689475, 9.68448060197826, -6.268333595370925]","[-0.004395963624119759, 0.021880947053432465, -0.01946604810655117]","[6.4738545850241636, -3.8905836668515548, -5.972487470663523]","[0.9993687868118286, 0.029810704290866852, 0.019322926178574562, -3.4269010939169675e-05]","[[0.9992532467190735, 0.0012205548037583168, 0.038619414383981164], [0.0010835652878788096, 0.9982226415182582, -0.05958509752092198], [-0.03862350071727747, 0.05958244881071859, 0.997475892934792]]","[2.9594829082489014, 1.8793402910232544, -0.0069937147200107574]",[1.0],"[0.9613881010853694, 0.2503200007962754, 0.11064728607621743, -0.028809622989337372]",[0.594],"[0.25036998621992246, -0.08224338789657593, 3.3859487669488413]","[515.9779052734375, 515.9779052734375, 515.9779052734375, 515.9779052734375]"
4,0.06,"[-0.00016420324391219765, 0.0010868572862818837, -0.8528483510017395]","[-4.336048446407843, 9.64585605937006, -6.327790577233635]","[-0.014159965328872204, 0.040226928889751434, -0.081022709608078]","[6.4361690281631745, -3.8624542608200585, -5.94569818627102]","[0.9981260299682617, 0.05173220857977867, 0.03268469497561455, -0.000145087149576284]","[[0.9978633795491536, 0.003671333057136677, 0.06523187156847039], [0.003092072074631873, 0.9946475156440192, -0.10328000151755354], [-0.06526189428010133, 0.10326103300260053, 0.992510979394288]]","[2.7504467964172363, 1.5690408945083618, -0.014346390962600708]",[1.0],"[0.962992834353683, 0.2505496409580956, 0.09614537021742497, -0.025014919247998944]",[0.594],"[0.1009140720949484, 0.12891331008442175, 0.4258030549954075]","[578.1152954101562, 615.08935546875, 515.6087646484375, 668.9762573242188]"
5,0.07,"[-0.00047717709094285965, 0.0018749779555946589, -0.8544307351112366]","[-4.2720628992300185, 9.60751214212093, -6.38698014375988]","[-0.028535116463899612, 0.06662148237228394, -0.13277879357337952]","[6.398554717782456, -3.8343917249129333, -5.918956652624452]","[0.9966123104095459, 0.07061756402254105, 0.0421539768576622, -0.0004094380128663033]","[[0.9964457494151576, 0.006769723820466906, 0.0839645122171234], [0.005137520067427806, 0.9900259846525619, -0.14079117728139842], [-0.08408016627018311, 0.1407221395236726, 0.9864724046256228]]","[2.3485655784606934, 0.9755576252937317, -0.019243450835347176]",[1.0],"[0.9644543257671976, 0.2508073674160133, 0.08052926371226664, -0.020941720195569703]",[0.594],"[-0.050828472341157394, 0.31426772345439735, 1.3061328313778606]","[578.1152954101562, 615.08935546875, 515.6087646484375, 668.9762573242188]"
6,0.08,"[-0.0011945203877985477, 0.003458075225353241, -0.857555091381073]","[-4.2084527826912, 9.569448181529616, -6.445902772457121]","[-0.052203498780727386, 0.11185765266418457, -0.21846681833267212]","[6.361011653881832, -3.8063960591314228, -5.892262869724085]","[0.9946879744529724, 0.09082316607236862, 0.04843585938215256, -0.0010217198869213462]","[[0.9953058476531326, 0.010830780191478182, 0.09617153335537046], [0.0067656106198587355, 0.9835002186777467, -0.18078038160642537], [-0.09654271666169181, 0.18058243010123717, 0.9788102419766112]]","[2.19108247756958, 0.4929385781288147, -0.02275163307785988]",[1.0],"[0.9657949504000582, 0.2511488219218407, 0.06245488841765564, -0.016240995713279388]",[0.594],"[-0.7785507868743864, 1.5380016359930382, -2.2136030251034082]","[578.1152954101562, 615.08935546875, 515.6087646484375, 668.9762573242188]"
7,0.09,"[-0.0021456412505358458, 0.0054815360344946384, -0.8614235520362854]","[-4.145217384326586, 9.531663508894873, -6.504558940832817]","[-0.07483073323965073, 0.15919198095798492, -0.29679426550865173]","[6.323539836461389, -3.7784672634742833, -5.865616837569654]","[0.9929724931716919, 0.10663038492202759, 0.051309987902641296, -0.001710195909254253]","[[0.9947287210106143, 0.014338761783861642, 0.10153409036916268], [0.007546052145721632, 0.9772540736384496, -0.21193756782144552], [-0.10226352572448143, 0.2115865673136209, 0.9719944937286614]]","[2.02933669090271, 0.2927386164665222, -0.024921605363488197]",[1.0],"[0.9667691953655629, 0.25149724684135316, 0.04441780277193788, -0.011554934891838942]",[0.594],"[-0.585872559492526, 1.2332517850561624, -1.590108381776128]","[578.1152954101562, 615.08935546875, 515.6087646484375, 668.9762573242188]"
8,0.1,"[-0.0034419503062963486, 0.008262655697762966, -0.8664271831512451]","[-4.082355991671375, 9.494157455515452, -6.562949126394428]","[-0.09806578606367111, 0.2126476913690567, -0.3694767951965332]","[6.286139265521129, -3.750605337942048, -5.839018556161069]","[0.9912695288658142, 0.12083335220813751, 0.05270565301179886, -0.002489454811438918]","[[0.9944318338509449, 0.017672641783658447, 0.10388939097055712], [0.007801759594580779, 0.9707862090029791, -0.23981924225727308], [-0.10509262757717665, 0.2392944089234238, 0.9652428323934419]]","[1.787460207939148, 0.0738924965262413, -0.02662118524312973]",[1.0],"[0.9674034515556535, 0.2518042760367076, 0.026060612567898243, -0.006783285370938358]",[0.594],"[-0.6077562497064739, 1.3849199189794859, -1.1371213428964548]","[578.1152954101562, 615.08935546875, 515.6087646484375, 668.9762573242188]"
9,0.11,"[-0.00546035822480917, 0.012724913656711578, -0.8738387823104858]","[-4.019867892260764, 9.456929352690105, -6.621073806649415]","[-0.12620443105697632, 0.284726619720459, -0.4542583227157593]","[6.24880994106114, -3.7228102825347165, -5.812468025498685]","[0.9893902540206909, 0.1356467455625534, 0.05190175771713257, -0.003625821555033326]","[[0.994586122216779, 0.02125531293097357, 0.1017185192872795], [0.006905903659313516, 0.9631736296380614, -0.2687914947770685], [-0.10368584275800889, 0.26803874876974215, 0.9578123381798297]]","[1.5606364011764526, -0.2575763165950775, -0.027860868722200394]",[1.0],"[0.9676936491484889, 0.2520515779188767, 0.00604363131761968, -0.0015741622478419664]",[0.594],"[-1.133967741404238, 2.7687605729128846, -2.4697368638011774]","[578.1152954101562, 615.08935546875, 515.6087646484375, 668.9762573242188]"
