idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[-1.8648260823138425e-17, 8.740928024053574e-05, -0.85053950548172]","[-7.4800804960184, -10.032706327168853, -10.20207450664465]","[3.1033152664370484e-15, 0.0055598546750843525, -0.011277523823082447]","[7.173790468020336, 8.109568774176523, -1.7340380385629572]","[1.0, -7.874221410020255e-06, 1.8254036469363003e-17, -9.392629903015592e-12]","[[1.0, 1.8785259804578966e-11, 1.8442736788473461e-16], [-1.8785259805153908e-11, 0.9999999998759933, 1.5748442819064056e-05], [1.1141122201180983e-16, -1.5748442819064056e-05, 0.9999999998759933]]","[-0.002207210985943675, 2.0721807245365625e-14, -2.348107264182886e-09]",[1.0],"[0.9364493650341079, -0.24395071584028657, 0.24395071584986117, 0.06355063496589204]",[0.594],"[3.1337737256786183e-13, 0.2648375157982604, 6.714034933481495]","[515.9703979492188, 515.9703979492188, 515.9703979492188, 515.9703979492188]"
1,0.03,"[7.514271208878458e-16, 0.00021600391482934356, -0.8507192730903625]","[-7.4086990187039765, -9.951917038670416, -10.219365116173137]","[-4.288770014682086e-06, 0.00872071459889412, -0.003929230384528637]","[7.138147731442324, 8.078928849843692, -1.7290609528487266]","[0.9999995231628418, -0.0007538527133874595, 0.0005957956309430301, -1.2058185561159007e-08]","[[0.9999992900551105, -8.74167972980331e-07, 0.0011915907481048445], [-9.224006936924515e-07, 0.9999988634121382, 0.0015077047393224157], [-0.0011915907117444598, -0.0015077047680592736, 0.9999981534672492]]","[-0.4692971706390381, 0.3888109624385834, 1.7953123460756615e-05]",[1.0],"[0.9364493650341057, -0.24395048077838383, 0.24395095091157465, 0.06355063496578388]",[0.594],"[0.01925042474722571, 0.3409859645909984, 7.439950363238738]","[515.9703979492188, 515.9703979492188, 515.9703979492188, 515.9703979492188]"
2,0.04,"[-2.39524842982064e-06, 0.0003637513145804405, -0.8506195545196533]","[-7.337673327747484, -9.8714336845675, -10.236606010586444]","[-0.0005693137645721436, 0.010673340409994125, 0.016730885952711105]","[7.102569095649258, 8.048335410291685, -1.7240894413307117]","[0.9999257922172546, -0.009353444911539555, 0.007808229885995388, 2.5716772142914124e-06]","[[0.9998780630843956, -0.00015121066208732288, 0.01561525209315912], [-0.00014092471705031204, 0.9998250261312788, 0.018705540938767834], [-0.015615348309319375, -0.01870546061778395, 0.9997030892421285]]","[-1.8405836820602417, 1.5626349449157715, 0.001402675872668624]",[1.0],"[0.9364493649789727, -0.24391479571820285, 0.24398663155303485, 0.06355063244083381]",[0.594],"[0.2013857548100636, 0.5041874238866209, 8.766259622722762]","[515.9703979492188, 515.9703979492188, 515.9703979492188, 515.9703979492188]"
3,0.05,"[-3.258881042711437e-05, 0.00051785510731861, -0.8503691554069519]","[-7.267002782141066, -9.791255800012298, -10.253797245626535]","[-0.0045506092719733715, 0.008599215187132359, 0.005736263934522867]","[7.067054560641761, 8.017788455520147, -1.7191235040090902]","[0.9993489384651184, -0.027337975800037384, 0.023544972762465477, 2.3467418941436335e-05]","[[0.9988912674492975, -0.0013342480288712196, 0.0470580024622108], [-0.001240439471044905, 0.9985052691047428, 0.054641457520675014], [-0.04706056866905306, -0.054639247361786665, 0.9973965387569192]]","[-2.805001974105835, 2.5446653366088867, 0.007873011752963066]",[1.0],"[0.9364493607539144, -0.24363407762797465, 0.24426701101870246, 0.06355043894372708]",[0.594],"[0.3790404899236617, 0.6949994276764865, 5.562692756439388]","[515.9703979492188, 515.9703979492188, 515.9703979492188, 515.9703979492188]"
4,0.06,"[-0.00018392113270238042, 0.0005708951503038406, -0.8507616519927979]","[-7.1966867408768715, -9.711382920157003, -10.270938877035368]","[-0.017375523224473, -0.0034106420353055, -0.06172311305999756]","[7.031604126419477, 7.987287985529434, -1.714163140883329]","[0.9978296160697937, -0.04884020984172821, 0.04416729509830475, 5.6168195442296565e-05]","[[0.9960984940192261, -0.0044263722252157025, 0.08813737823167628], [-0.004202187083521943, 0.9952292617908777, 0.09747337122978689], [-0.0881483512968042, -0.09746344804134832, 0.9913277684295677]]","[-2.7705812454223633, 2.811156749725342, 0.018658943474292755]",[1.0],"[0.9364493156393565, -0.2428736585017869, 0.24502381427615647, 0.06354837277304476]",[0.594],"[0.17311076039438777, 0.40880177230875514, -0.18400940266069732]","[515.9703979492188, 515.9703979492188, 515.9703979492188, 515.9703979492188]"
5,0.07,"[-0.0005941734998486936, 0.00037512442213483155, -0.8521776795387268]","[-7.1267245629470475, -9.631814580153813, -10.288030960554908]","[-0.038996826857328415, -0.024309448897838593, -0.12753494083881378]","[6.9962177929824065, 7.956834000319013, -1.7092083519539614]","[0.9956104159355164, -0.0679708868265152, 0.06434228271245956, 9.111381223192438e-05]","[[0.9917201253648477, -0.008928231044709004, 0.12810729735945264], [-0.008565375631552795, 0.9907599012184445, 0.13535676000077923], [-0.1281320697039634, -0.13533331011997912, 0.9824800597901966]]","[-2.3796334266662598, 2.5542218685150146, 0.028726065531373024]",[1.0],"[0.9364491580200397, -0.24174146652740428, 0.2461433720632628, 0.06354115354685419]",[0.594],"[-0.04641893719761159, 0.14555671375955992, -0.16537572983140514]","[515.9703979492188, 515.9703979492188, 515.9703979492188, 515.9703979492188]"
6,0.08,"[-0.001626324257813394, -0.00038103346014395356, -0.8552824854850769]","[-7.05711560734374, -9.552550315154914, -10.305073551927114]","[-0.07804329693317413, -0.06194758787751198, -0.21882762014865875]","[6.9608955603307265, 7.926426499889949, -1.7042591372206317]","[0.9923791289329529, -0.08828719705343246, 0.08595973998308182, 0.00023815866734366864]","[[0.9852217342180205, -0.01565097484794153, 0.1705672342823942], [-0.014705600177508032, 0.9844106297665854, 0.1752696702968711], [-0.17065133971889976, -0.17518778207644428, 0.969632590862787]]","[-2.197582960128784, 2.2966225147247314, 0.039376918226480484]",[1.0],"[0.9364487469406603, -0.2401225811117519, 0.24772929793587922, 0.06352232157040293]",[0.594],"[-1.0877032898904857, -0.869208737003861, -2.925638778856653]","[630.1102294921875, 669.8101806640625, 639.03173828125, 653.3784790039062]"
7,0.09,"[-0.0030954836402088404, -0.0015970927197486162, -0.8591203689575195]","[-6.987859233059098, -9.473589660312506, -10.322066706893951]","[-0.1189158484339714, -0.10120709985494614, -0.29103508591651917]","[6.92563742846426, 7.896065484240822, -1.6993154966836954]","[0.9892867803573608, -0.10402394086122513, 0.10242347419261932, 0.0004671433416660875]","[[0.9790184295283401, -0.022233262078189077, 0.20255516952481165], [-0.020384707333923988, 0.9783576051814272, 0.20591469129368298], [-0.20274954587069458, -0.20572330553689114, 0.9573769076012864]]","[-2.021474838256836, 2.1267669200897217, 0.04840775206685066]",[1.0],"[0.9364481627673694, -0.2385975461083319, 0.249207472847772, 0.06349555037581739]",[0.594],"[-0.7420258352002622, -0.5252388718325909, -1.219521890643584]","[630.1102294921875, 669.8101806640625, 639.03173828125, 653.3784790039062]"
8,0.1,"[-0.0052204192616045475, -0.0034422408789396286, -0.8639670610427856]","[-6.918954799085264, -9.394932150778782, -10.33901048119738]","[-0.16541296243667603, -0.14574183523654938, -0.3539223372936249]","[6.890443397383361, 7.865750953372341, -1.6943774303429748]","[0.9860309958457947, -0.11799114942550659, 0.11756078153848648, 0.0007198405219241977]","[[0.9723578914804263, -0.02916183094321628, 0.23166725813497868], [-0.0263226909366563, 0.9721551435253807, 0.23285508982841624], [-0.23200699734618535, -0.23251658980207368, 0.944515107687125]]","[-1.753964900970459, 1.9485180377960205, 0.057627636939287186]",[1.0],"[0.9364473339773574, -0.23697316518068257, 0.2507653266795009, 0.0634575496396747]",[0.594],"[-0.8236915310715718, -0.6078364485698136, -0.49991502590805226]","[630.1102294921875, 669.8101806640625, 639.03173828125, 653.3784790039062]"
9,0.11,"[-0.008756598457694054, -0.006597979925572872, -0.8709756135940552]","[-6.85040166441439, -9.31657732170593, -10.35590493057936]","[-0.22903046011924744, -0.20625366270542145, -0.42436498403549194]","[6.855313467087409, 7.835482907285218, -1.689444938197937]","[0.9821336269378662, -0.1322014480829239, 0.13392288982868195, 0.0010295836254954338]","[[0.9641272021062319, -0.03743197417129414, 0.26278809993690455], [-0.03338721971170064, 0.9650434371184967, 0.2599547230469965], [-0.2633325496757505, -0.25940318383581495, 0.9291748793941379]]","[-1.4904104471206665, 1.7353177070617676, 0.06921254843473434]",[1.0],"[0.9368766094735298, -0.2351061898666272, 0.2510353309160406, 0.06299651371032096]",[0.594],"[-2.0217644814203837, -1.7579911086868103, -1.508800756919884]","[630.1102294921875, 669.8101806640625, 639.03173828125, 653.3784790039062]"
