idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[0.0, 0.0, -0.8504910469055176]","[10.947304266319689, -8.264859727120786, -12.394342649061615]","[0.0, 0.0, -0.011313136667013168]","[-20.00128692148504, 1.3929773738473372, -3.365833966270415]","[0.9999998807907104, 0.0, 0.0, 0.0]","[[1.0, 0.0, 0.0], [0.0, 1.0, 0.0], [0.0, 0.0, 1.0]]","[0.0, 0.0, 0.0]",[1.0],"[0.936449365034108, -0.24395071584507388, 0.24395071584507388, 0.06355063496589204]",[0.594],"[0.0, 0.0, 6.714001128520026]","[515.9695434570312, 515.9695434570312, 515.9695434570312, 515.9695434570312]"
1,0.03,"[0.0, 0.0, -0.8506537675857544]","[10.748180468954962, -8.250776984510967, -12.427798015861605]","[0.0, 0.0, -0.007525152061134577]","[-19.91237973647273, 1.408274260981912, -3.3455366799989505]","[1.0, -0.000200726994080469, 0.00016778719145804644, 1.174078737876949e-12]","[[0.9999999436949206, -6.736118072017163e-08, 0.0003355743599476144], [-6.735648440554154e-08, 0.9999999194173532, 0.0004014539606842702], [-0.0003355743599485571, -0.0004014539606834822, 0.9999998631122738]]","[-0.23744189739227295, 0.19847705960273743, 2.0759896415256662e-06]",[1.0],"[0.936449365034108, -0.24395069867981017, 0.2439507330103366, 0.06355063496589147]",[0.594],"[0.005542061399134844, 0.006630072987058402, 7.083947715017837]","[515.9695434570312, 515.9695434570312, 515.9695434570312, 515.9695434570312]"
2,0.04,"[-1.1334590226397268e-06, -1.3558440059568966e-06, -0.8506178855895996]","[10.549944202873709, -8.236541715430564, -12.461050809831393]","[-0.0003226677654311061, -0.00038582365959882736, 0.01315712183713913]","[-19.823626608125267, 1.4235269080403512, -3.325279396978864]","[0.9999614953994751, -0.006725783459842205, 0.0056388648226857185, 1.4617339729738887e-06]","[[0.9999364064043549, -7.877492090385247e-05, 0.01127727545360829], [-7.292821029347816e-05, 0.9999095276717131, 0.013451065117964638], [-0.01127731477883201, -0.01345103214788435, 0.9998459340846148]]","[-1.564070701599121, 1.320316195487976, 0.0008197155548259616]",[1.0],"[0.9364493650193442, -0.243932128900235, 0.24396930160664987, 0.06355063428975072]",[0.594],"[0.15397913625132933, 0.18356401250347265, 8.770834483042977]","[515.9695434570312, 515.9695434570312, 515.9695434570312, 515.9695434570312]"
3,0.05,"[-2.1204265067353845e-05, -2.5241668481612578e-05, -0.8503521084785461]","[10.35259392750929, -8.222154362280335, -12.494101431003502]","[-0.003203822299838066, -0.0037951930426061153, 0.013312150724232197]","[-19.73502753644194, 1.4387353150228321, -3.3050621172108663]","[0.9995361566543579, -0.02312193065881729, 0.01981966756284237, 1.831842564570252e-05]","[[0.9992143608620295, -0.0009531578426489238, 0.039620102690587855], [-0.0008799181255123895, 0.9989307519438227, 0.04622313884886214], [-0.03962179692010605, -0.04622168658839474, 0.9981451141481112]]","[-2.6838746070861816, 2.3912720680236816, 0.006081285886466503]",[1.0],"[0.9364493628817401, -0.24372621328999972, 0.2441750458951021, 0.06355053639290116]",[0.594],"[0.36621654554022465, 0.4224452032941156, 6.69002068297357]","[515.9695434570312, 515.9695434570312, 515.9695434570312, 515.9695434570312]"
4,0.06,"[-0.00018376705702394247, -0.00021457913680933416, -0.8507111072540283]","[10.156128102295055, -8.207615367461042, -12.526950279410446]","[-0.017372870817780495, -0.019980596378445625, -0.06165404990315437]","[-19.64658252142346, 1.453899481929355, -3.284884840694424]","[0.9978345036506653, -0.04875815287232399, 0.04414699226617813, 5.89998671784997e-05]","[[0.9961020792424633, -0.0044227957375270145, 0.08809702949989498], [-0.00418730732822836, 0.9952452781641917, 0.09731034245762134], [-0.08810853639790084, -0.09729992379105283, 0.9913473713305923]]","[-2.771639585494995, 2.811095714569092, 0.018639983609318733]",[1.0],"[0.9364493159888917, -0.24287748314527746, 0.24502001764802195, 0.06354838878142653]",[0.594],"[0.03803093843129557, -0.011445283905053172, -0.9343680210667547]","[515.9695434570312, 515.9695434570312, 515.9695434570312, 515.9695434570312]"
5,0.07,"[-0.0005943168653175235, -0.0006787513266317546, -0.8521292805671692]","[9.960545186664358, -8.19292517337344, -12.559597755084745]","[-0.039053503423929214, -0.043538618832826614, -0.12797889113426208]","[-19.558291563069652, 1.4690194087600972, -3.264747567429893]","[0.9956167340278625, -0.06789518147706985, 0.06432412564754486, 9.521831816527992e-05]","[[0.9917247959086286, -0.008924197922684403, 0.12807141707432465], [-0.008544994133649387, 0.9907804708904447, 0.1352074020805236], [-0.12809727653328448, -0.13518290274123143, 0.9825053030651845]]","[-2.3800342082977295, 2.5546600818634033, 0.028708217665553093]",[1.0],"[0.9364491590058674, -0.2417467532621493, 0.24613816435476213, 0.06354119870195346]",[0.594],"[-0.05294440287223745, -0.12283151410823967, -0.21626017854939228]","[515.9695434570312, 515.9695434570312, 515.9695434570312, 515.9695434570312]"
6,0.08,"[-0.001405650400556624, -0.0015689781866967678, -0.8546149730682373]","[9.765843640050555, -8.178084222418295, -12.592044258058916]","[-0.07089047878980637, -0.07683707773685455, -0.2049436867237091]","[-19.470154661380334, 1.484095095514526, -3.2446502974170954]","[0.9929661750793457, -0.08492594957351685, 0.0824970155954361, 0.0002070265036309138]","[[0.9863883996902212, -0.014423414795010874, 0.16379832130463237], [-0.01360113356791333, 0.9855750810669273, 0.16869134164380659], [-0.1638686489912952, -0.16862302537189502, 0.9719636521970341]]","[-2.219062089920044, 2.3337206840515137, 0.03758305683732033]",[1.0],"[0.9364488375137663, -0.24041596302556442, 0.24744317910576696, 0.06352647129848742]",[0.594],"[-0.47854344231424095, -0.5438828238611397, -1.4543525756906543]","[632.1851196289062, 669.8314208984375, 641.1508178710938, 651.9906616210938]"
7,0.09,"[-0.0027602226473391056, -0.0030209419783204794, -0.8582707047462463]","[9.572021921887, -8.163092956996362, -12.624290188365476]","[-0.11091361939907074, -0.11788497865200043, -0.28101474046707153]","[-19.38217181635551, 1.499126542193352, -3.224593030656031]","[0.9899342060089111, -0.10089924931526184, 0.09924481809139252, 0.00041882821824401617]","[[0.9803005833012584, -0.0208566779598554, 0.19640714183473934], [-0.019198228607096905, 0.9796383341787527, 0.1998503495764469], [-0.19657617962907453, -0.19968408347176111, 0.9599396191482465]]","[-2.063990592956543, 2.164856195449829, 0.04655773565173149]",[1.0],"[0.9364483013300479, -0.23891827585282996, 0.24889786041910963, 0.06350190137600915]",[0.594],"[-0.7586203548678632, -0.8042312879035705, -1.563557118706111]","[632.1851196289062, 669.8314208984375, 641.1508178710938, 651.9906616210938]"
8,0.1,"[-0.004761654417961836, -0.005132413934916258, -0.8630009293556213]","[9.379078491607045, -8.147951819508403, -12.656335946036943]","[-0.15698929131031036, -0.16461607813835144, -0.34834563732147217]","[-19.29434302799553, 1.5141137487958645, -3.2045757671467]","[0.9866939783096313, -0.11526023596525192, 0.11467208713293076, 0.0006704869447275996]","[[0.973699727494104, -0.027757392674406557, 0.2261379398283851], [-0.025111131125328895, 0.9734292586572546, 0.22760691879552844], [-0.22644706174184298, -0.22729937426642102, 0.9471307843622122]]","[-1.8093777894973755, 1.985616683959961, 0.05573844909667969]",[1.0],"[0.9364475214837281, -0.23730692485607652, 0.2504466227734448, 0.06346614895919582]",[0.594],"[-0.8728648515339659, -0.9141471988301619, -0.9010812770338319]","[632.1851196289062, 669.8314208984375, 641.1508178710938, 651.9906616210938]"
9,0.11,"[-0.007499583996832371, -0.00798660796135664, -0.8687016367912292]","[9.18701180864404, -8.132661252355177, -12.688181931105836]","[-0.2092224508523941, -0.21698030829429626, -0.41146865487098694]","[-19.2066682963004, 1.5290567153225965, -3.18459850688928]","[0.9834333658218384, -0.1276399940252304, 0.12870892882347107, 0.0009252696763724089]","[[0.9668663109537429, -0.0346766960405879, 0.2529171079512195], [-0.03103693174322948, 0.967414351523324, 0.25128903942407166], [-0.25338951361622336, -0.2508126775472388, 0.9342840869729713]]","[-1.5658026933670044, 1.8038915395736694, 0.06521723419427872]",[1.0],"[0.9367200869898156, -0.2357290404723431, 0.2509933908429321, 0.06316340602712776]",[0.594],"[-1.0463515956200515, -1.086346455409056, -0.6924585003978603]","[632.1851196289062, 669.8314208984375, 641.1508178710938, 651.9906616210938]"
