filename,method,condition,n_samples_after_t0,t0_seconds,mae_x,mae_y,mae_z,mae_3d,rmse_3d
simpleflight_ellipse_pid_13p5wind,PID,13p5wind,4001,20.000000,1.452778,2.779385,0.734967,3.503507,3.597490
simpleflight_ellipse_pid_15wind,PID,15wind,4001,20.000000,1.452097,2.793095,1.020563,3.608152,3.725620
simpleflight_ellipse_pid_18sint,PID,18sint,4001,20.000000,1.454433,2.774188,0.907821,3.620576,3.744009
simpleflight_ellipse_pid_gusts,PID,gusts,4001,20.000000,1.451239,2.650193,0.044444,3.288683,3.360646
simpleflight_ellipse_pid_ou15,PID,ou15,4001,20.000000,1.449925,2.782327,1.343070,3.813926,4.035308
simpleflight_ellipse_pid_10sint,PID,10sint,4001,20.000000,1.452520,2.689120,0.206737,3.334099,3.409020
simpleflight_ellipse_pid_10wind,PID,10wind,4001,20.000000,1.453578,2.745359,0.412281,3.409373,3.486602
simpleflight_ellipse_pid_12wind,PID,12wind,4001,20.000000,1.452949,2.768803,0.547329,3.451546,3.534730
simpleflight_ellipse_pid_5wind,PID,5wind,4001,20.000000,1.451623,2.686835,0.130878,3.324361,3.398280
simpleflight_ellipse_pid_nowind,PID,nowind,4001,20.000000,1.450962,2.653819,0.045164,3.292416,3.365466
simpleflight_ellipse_adaptive_13p5wind,Adaptive,13p5wind,4001,20.000000,0.679273,1.156084,1.231314,1.927191,1.941577
simpleflight_ellipse_adaptive_15wind,Adaptive,15wind,4001,20.000000,0.676620,1.150002,1.235904,1.927824,1.942530
simpleflight_ellipse_adaptive_18sint,Adaptive,18sint,4001,20.000000,0.678660,1.160550,1.600486,2.243148,2.372352
simpleflight_ellipse_adaptive_gusts,Adaptive,gusts,4001,20.000000,0.683520,1.217249,1.219543,1.960966,1.976765
simpleflight_ellipse_adaptive_ou15,Adaptive,ou15,4001,20.000000,0.678356,1.163107,6.338834,6.677653,8.993695
simpleflight_ellipse_adaptive_10sint,Adaptive,10sint,4001,20.000000,0.682016,1.198176,1.221185,1.948033,1.963011
simpleflight_ellipse_adaptive_10wind,Adaptive,10wind,4001,20.000000,0.682139,1.171352,1.224909,1.932106,1.945953
simpleflight_ellipse_adaptive_12wind,Adaptive,12wind,4001,20.000000,0.680149,1.161180,1.227377,1.926860,1.940758
simpleflight_ellipse_adaptive_5wind,Adaptive,5wind,4001,20.000000,0.682342,1.197670,1.219855,1.947273,1.962365
simpleflight_ellipse_adaptive_nowind,Adaptive,nowind,4001,20.000000,0.684972,1.216705,1.221195,1.962757,1.978110
simpleflight_ellipse_nnadaptive_13p5wind,NNAdaptive,13p5wind,4001,20.000000,0.714471,1.220276,8.298960,8.504975,10.453894
simpleflight_ellipse_nnadaptive_15wind,NNAdaptive,15wind,4001,20.000000,0.707141,1.209899,4.730246,5.020908,5.419490
simpleflight_ellipse_nnadaptive_18sint,NNAdaptive,18sint,4001,20.000000,0.707082,1.218688,4.333893,4.669331,5.036879
simpleflight_ellipse_nnadaptive_gusts,NNAdaptive,gusts,4001,20.000000,0.711981,1.286787,54.744741,54.838044,79.691225
simpleflight_ellipse_nnadaptive_ou15,NNAdaptive,ou15,4001,20.000000,0.710272,1.182665,2.272738,2.817395,3.075676
simpleflight_ellipse_nnadaptive_10sint,NNAdaptive,10sint,4001,20.000000,0.711574,1.268125,33.726615,33.847278,51.539245
simpleflight_ellipse_nnadaptive_10wind,NNAdaptive,10wind,4001,20.000000,0.709987,1.236429,7.197669,7.393480,7.875497
simpleflight_ellipse_nnadaptive_12wind,NNAdaptive,12wind,4001,20.000000,0.712212,1.226562,10.050349,10.237155,13.293847
simpleflight_ellipse_nnadaptive_5wind,NNAdaptive,5wind,4001,20.000000,0.712574,1.271065,13.131753,13.295479,18.450398
simpleflight_ellipse_nnadaptive_nowind,NNAdaptive,nowind,4001,20.000000,0.708232,1.293516,5.980186,6.220026,6.514321
simpleflight_ellipse_metapinn_13p5wind,MetaPINN,13p5wind,4001,20.000000,0.691185,1.164877,0.827019,1.795540,1.837744
simpleflight_ellipse_metapinn_15wind,MetaPINN,15wind,4001,20.000000,0.765694,1.215437,1.234283,2.165490,2.288723
simpleflight_ellipse_metapinn_18sint,MetaPINN,18sint,4001,20.000000,0.694981,1.161537,1.077272,2.027458,2.169704
simpleflight_ellipse_metapinn_gusts,MetaPINN,gusts,4001,20.000000,0.699294,1.214333,0.835350,1.796610,1.839716
simpleflight_ellipse_metapinn_ou15,MetaPINN,ou15,4001,20.000000,0.693392,1.094344,3.020154,3.644216,4.696131
simpleflight_ellipse_metapinn_10sint,MetaPINN,10sint,4001,20.000000,0.696206,1.204327,0.715023,1.718396,1.757588
simpleflight_ellipse_metapinn_10wind,MetaPINN,10wind,4001,20.000000,0.695873,1.175818,0.451791,1.587698,1.630254
simpleflight_ellipse_metapinn_12wind,MetaPINN,12wind,4001,20.000000,0.693533,1.167522,0.599959,1.667132,1.706363
simpleflight_ellipse_metapinn_5wind,MetaPINN,5wind,4001,20.000000,0.695591,1.202883,0.886310,1.802325,1.840118
simpleflight_ellipse_metapinn_nowind,MetaPINN,nowind,4001,20.000000,0.695976,1.224070,1.177756,1.966622,2.002703
