idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[1.6734933171043658e-16, 0.0006429754430428147, -0.8443880081176758]","[0.09999833334166665, 0.09999333346666539, -10.04]","[2.230985510806409e-14, 0.04519796743988991, -0.013157784938812256]","[4.9998541674739565, 4.999416679583207, -1.9999999999999574]","[1.0, -4.493726373766549e-05, 3.075506155692175e-17, 1.1740786294567318e-12]","[[1.0, -2.348157256935791e-12, -4.4009638838593285e-17], [2.3481572514075976e-12, 0.9999999959612846, 8.987452729384218e-05], [-1.6702988481785842e-16, -8.987452729384218e-05, 0.9999999959612846]]","[-0.014911018311977386, -2.2789377400163693e-14, 1.174053632091443e-09]",[1.0],"[0.9986731985549382, 0.005287391000738177, -0.05122316308854672, -0.005287391000738177]",[0.594],"[0.0, 0.0, 0.0]","[529.9194946289062, 530.2854614257812, 530.2854614257812, 529.9194946289062]"
1,0.03,"[4.7506304667876975e-08, 0.5853286981582642, -0.8865844011306763]","[0.1499943750632809, 0.14997750101247828, -10.06]","[1.2713877595160739e-07, 0.756897509098053, -0.06043197959661484]","[4.999604172161424, 4.998416754581289, -2.000000000000135]","[0.996597945690155, -0.08241726458072662, -1.087175904856963e-09, -2.0546739865068275e-09]","[[1.0, 4.2745715735502425e-09, -1.8282731980804862e-09], [-3.91616334215964e-09, 0.9864147899606385, 0.16427374150152402], [2.5056355883783828e-09, -0.16427374150152402, 0.9864147899606385]]","[-0.1289598047733307, 6.702829580262915e-08, -3.2497202706593953e-09]",[1.0],"[0.9653948418744501, -0.2514911876746453, -0.06679943251491688, 0.2514911876746453]",[0.594],"[0.0, 0.0, 0.0]","[529.9194946289062, 530.2854614257812, 530.2854614257812, 529.9194946289062]"
2,0.04,"[4.94159628772195e-08, 0.5966576933860779, -0.8874887824058533]","[0.1999866669333308, 0.1999466709331708, -10.08]","[1.2745037736294762e-07, 0.75348299741745, -0.06052742525935173]","[4.999229187004992, 4.996916992069253, -1.9999999999999574]","[0.9965325593948364, -0.08320405334234238, -7.300014840438962e-05, 6.091239356464939e-06]","[[0.9999999892677509, 7.579791637987547e-09, -0.00014650767200682013], [2.4288051674419265e-05, 0.9861541717961746, 0.16583108532205743], [0.00014448040891474516, -0.16583108710070282, 0.9861541612123383]]","[-0.06251602619886398, -0.09029366075992584, -1.0512680859164902e-07]",[1.0],"[0.9640499116593763, -0.2511386515357434, -0.08401287349837373, 0.2511386515357434]",[0.594],"[0.0, 0.0, 0.0]","[529.9194946289062, 530.2854614257812, 530.2854614257812, 529.9194946289062]"
3,0.05,"[1.2578601626955788e-06, 0.6101964116096497, -0.8884860873222351]","[0.24997395914712334, 0.24989584635339168, -10.1]","[0.00029028119752183557, 0.750476598739624, -0.050446297973394394]","[4.998729221379253, 4.994917542022087, -1.9999999999999574]","[0.99591064453125, -0.090269073843956, -0.0036583130713552237, 0.0003012314555235207]","[[0.9999730520099374, 6.046584002714658e-05, -0.007341089688411598], [0.001260464302227342, 0.9837028069966778, 0.17979766054262153], [0.007232322149484481, -0.17980206853854364, 0.9836762219681774]]","[-1.7047667503356934, -0.7302628755569458, -0.0005471498006954789]",[1.0],"[0.9624065802509946, -0.25057691748204136, -0.10142682532075818, 0.25057691748204136]",[0.594],"[0.0, 0.0, 0.0]","[529.9194946289062, 530.2854614257812, 530.2854614257812, 529.9194946289062]"
4,0.06,"[1.6753074305597693e-05, 0.621384859085083, -0.8893532752990723]","[0.2999550020249566, 0.299820032397223, -10.12]","[0.002316343365237117, 0.7381682991981506, -0.07599788904190063]","[4.998104287783328, 4.992418604383131, -1.9999999999999574]","[0.9941734075546265, -0.10723179578781128, -0.010944743640720844, 0.0008862268296070397]","[[0.9997588543761159, 0.0005851227388006309, -0.0219520096559927], [0.004109375344197808, 0.977001113036205, 0.213194601620907], [0.021571882876484316, -0.21323339972292635, 0.9767631090043102]]","[-2.5911154747009277, -1.1686246395111084, -0.003635569242760539]",[1.0],"[0.9605136705209418, -0.24970316646097626, -0.1187784770449174, 0.24970316646097626]",[0.594],"[0.0, 0.0, 0.0]","[529.9194946289062, 530.2854614257812, 530.2854614257812, 529.9194946289062]"
5,0.07,"[8.641371823614463e-05, 0.6322937607765198, -0.8908315300941467]","[0.349928546043362, 0.3497142366876639, -10.14]","[0.007521316409111023, 0.7156941890716553, -0.11781694740056992]","[4.9973544018405365, 4.989420429044089, -2.000000000000135]","[0.9919108152389526, -0.1252617985010147, -0.020484868437051773, 0.001678156666457653]","[[0.9991551079356448, 0.0018027793773583958, -0.04105874173214067], [0.008461106168794714, 0.9686133321819201, 0.2484283043492378], [0.04021790606819856, -0.24856581161928465, 0.9677797049564203]]","[-2.0762288570404053, -1.3261736631393433, -0.00875322986394167]",[1.0],"[0.9584452935957438, -0.2484717208969494, -0.13567354005066404, 0.2484717208969494]",[0.594],"[0.0, 0.0, 0.0]","[529.9194946289062, 530.2854614257812, 530.2854614257812, 529.9194946289062]"
6,0.08,"[0.00031121933716349304, 0.6448853611946106, -0.8933318853378296]","[0.3998933418663416, 0.39957346984586345, -10.16]","[0.018596628680825233, 0.681114137172699, -0.16326910257339478]","[4.9964795822979635, 4.9859233158199565, -1.9999999999999574]","[0.989679217338562, -0.13954505324363708, -0.03247132897377014, 0.002801125403493643]","[[0.9978755330006268, 0.0035179954367348925, -0.065054164715429], [0.014606857729075063, 0.9610386639594692, 0.2760277632454403], [0.06349063195462475, -0.2763915883001966, 0.9589455821739297]]","[-1.2620842456817627, -1.3487164974212646, -0.014852935448288918]",[1.0],"[0.9563484812988979, -0.2468152306989615, -0.15149635784180449, 0.2468152306989615]",[0.594],"[0.0, 0.0, 0.0]","[529.9194946289062, 530.2854614257812, 530.2854614257812, 529.9194946289062]"
7,0.09,"[0.0006916288984939456, 0.6548302173614502, -0.8961518406867981]","[0.44984814037660237, 0.4493927459900553, -10.18]","[0.03270997479557991, 0.6447347402572632, -0.21066035330295563]","[4.995479851026074, 4.981927614419185, -1.9999999999999574]","[0.9879721403121948, -0.14854639768600464, -0.042783331125974655, 0.003821218851953745]","[[0.9963099697190338, 0.0051601039172492974, -0.08567273525469499], [0.020261135027058255, 0.955838731928689, 0.29319243672436573], [0.08340222206795922, -0.2938463746118353, 0.9522071085019308]]","[-1.263631820678711, -1.4287960529327393, -0.02083190716803074]",[1.0],"[0.9541727416625719, -0.2450475413407848, -0.16637434770506204, 0.2450475413407848]",[0.594],"[0.0, 0.0, 0.0]","[529.9194946289062, 530.2854614257812, 530.2854614257812, 529.9194946289062]"
8,0.1,"[0.0013096362818032503, 0.6642199754714966, -0.8996146321296692]","[0.49979169270678325, 0.4991670832341407, -10.2]","[0.05053642764687538, 0.6062370538711548, -0.251722127199173]","[4.994355233018088, 4.977433724408542, -1.9999999999999574]","[0.9858993291854858, -0.15837585926055908, -0.05381406471133232, 0.004858915228396654]","[[0.994160874546313, 0.007464895227849582, -0.10764957436305765], [0.026626500999504216, 0.9497869544197629, 0.31176236247910794], [0.1045714347507657, -0.3128082744322287, 0.944042265198385]]","[-1.364848017692566, -1.5100510120391846, -0.028742147609591484]",[1.0],"[0.9573947424874953, -0.22123959541086605, -0.18083707992842837, 0.22123959541086605]",[0.594],"[0.0, 0.0, 0.0]","[529.9194946289062, 530.2854614257812, 530.2854614257812, 529.9194946289062]"
9,0.11,"[0.0024473012890666723, 0.6746950745582581, -0.9045315980911255]","[0.5497227502706772, 0.548891504185874, -10.22]","[0.07626953721046448, 0.558535099029541, -0.2889528274536133]","[4.993105756389393, 4.9724420951733235, -2.000000000000135]","[0.9832116365432739, -0.1693921685218811, -0.0675530806183815, 0.006143779493868351]","[[0.9907976704871867, 0.010804654718980788, -0.13491936700699353], [0.03496719683367546, 0.9425370940729975, 0.3322666420843727], [0.13075653445529672, -0.3339267670206047, 0.9334857486670097]]","[-1.0453780889511108, -1.5553197860717773, -0.040368784219026566]",[1.0],"[0.9610143566804936, -0.19378423551281024, -0.1933370211128845, 0.19378423551281024]",[0.594],"[0.0, 0.0, 0.0]","[529.9194946289062, 530.2854614257812, 530.2854614257812, 529.9194946289062]"
