idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[1.0032370459145444e-15, 0.0007856852025724947, -0.8458899855613708]","[0.09999833334166665, 0.09999333346666539, -10.04]","[2.3392304261161956e-13, 0.04993794858455658, -0.013157939538359642]","[4.9998541674739565, 4.999416679583207, -1.9999999999999574]","[1.0, -7.085518882377073e-05, 7.410715607725107e-16, -1.408894442084252e-11]","[[1.0, 2.817788859520161e-11, 3.478692738613207e-15], [-2.8177888805236667e-11, 0.9999999899590845, 0.0001417103769360905], [5.144065104052381e-16, -0.0001417103769360905, 0.9999999899590845]]","[-0.019847672432661057, 1.9476470946005325e-13, -1.1740537431137454e-09]",[1.0],"[0.9991068681863013, 0.022652532861274114, -0.03566055225247225, -0.022652532861274114]",[0.594],"[0.0, 0.0, 0.0]","[529.508056640625, 529.8699340820312, 529.8699340820312, 529.508056640625]"
1,0.03,"[4.763791139339446e-08, 0.5648187398910522, -0.886429488658905]","[0.1499943750632809, 0.14997750101247828, -10.06]","[1.2312131048020092e-07, 0.7620825171470642, -0.06163419038057327]","[4.999604172161424, 4.998416754581289, -2.000000000000135]","[0.9967424869537354, -0.08064991235733032, 9.210269213966171e-10, -1.802393900796062e-09]","[[1.0, 3.444483699151932e-09, 2.126779162113198e-09], [-3.741606662992624e-09, 0.9869911831910595, 0.16077438945028658], [-1.545327517897579e-09, -0.16077438945028658, 0.9869911831910595]]","[-0.1337452232837677, 1.225135690674506e-07, -4.342409543056647e-09]",[1.0],"[0.966317800917887, -0.251731624007943, -0.05176169013501843, 0.251731624007943]",[0.594],"[0.0, 0.0, 0.0]","[529.508056640625, 529.8699340820312, 529.8699340820312, 529.508056640625]"
2,0.04,"[5.882779419152939e-08, 0.5807812213897705, -0.8877214193344116]","[0.1999866669333308, 0.1999466709331708, -10.08]","[8.44024725665804e-06, 0.7582298517227173, -0.06025032326579094]","[4.999229187004992, 4.996916992069253, -1.9999999999999574]","[0.9966289401054382, -0.08204009383916855, -0.00046014762483537197, 3.753567943931557e-05]","[[0.9999995737104869, 6.828197877564008e-07, -0.0009233517088293841], [0.0001503193923035888, 0.9865388436508977, 0.1635270233693191], [0.0009110339865990105, -0.16352709245713168, 0.9865384229970934]]","[-0.4466739296913147, -0.21995796263217926, -9.977522495319135e-06]",[1.0],"[0.9652411160764687, -0.2514400830915675, -0.0690230901519901, 0.2514400830915675]",[0.594],"[0.0, 0.0, 0.0]","[529.508056640625, 529.8699340820312, 529.8699340820312, 529.508056640625]"
3,0.05,"[3.2403511340817204e-06, 0.5943981409072876, -0.8887604475021362]","[0.24997395914712334, 0.24989584635339168, -10.1]","[0.0005890844040550292, 0.7530004978179932, -0.06139126047492027]","[4.998729221379253, 4.994917542022087, -1.9999999999999574]","[0.9955028295516968, -0.09461664408445358, -0.0046644192188978195, 0.00037174130557104945]","[[0.9999562100073569, 0.00014252433053633408, -0.009357230067594587], [0.0016228022865281654, 0.9820951065164942, 0.1883787893290924], [0.009216538420770023, -0.18838572515764285, 0.9820518692901956]]","[-2.286890983581543, -0.7010486125946045, -0.0010762019082903862]",[1.0],"[0.9638708389885425, -0.25094511366690403, -0.08644659358370448, 0.25094511366690403]",[0.594],"[0.0, 0.0, 0.0]","[529.508056640625, 529.8699340820312, 529.8699340820312, 529.508056640625]"
4,0.06,"[2.7433123250375502e-05, 0.6055755019187927, -0.889978289604187]","[0.2999550020249566, 0.299820032397223, -10.12]","[0.003086038865149021, 0.7352164387702942, -0.1046280562877655]","[4.998104287783328, 4.992418604383131, -1.9999999999999574]","[0.9934387803077698, -0.11381936073303223, -0.011127894744277, 0.0008810115978121758]","[[0.9997507875700298, 0.0007826775083020065, -0.02231031530533047], [0.004283601635293809, 0.9740887555224753, 0.22612551187715538], [0.02190921062328292, -0.226164727091988, 0.9738426478180503]]","[-2.5576858520507812, -0.9975714683532715, -0.004341745749115944]",[1.0],"[0.9622510439111712, -0.25020220240235563, -0.10365956511431615, 0.25020220240235563]",[0.594],"[0.0, 0.0, 0.0]","[529.508056640625, 529.8699340820312, 529.8699340820312, 529.508056640625]"
5,0.07,"[0.00010701988503569737, 0.6164367198944092, -0.8918152451515198]","[0.349928546043362, 0.3497142366876639, -10.14]","[0.008005130104720592, 0.7120497226715088, -0.13867810368537903]","[4.9973544018405365, 4.989420429044089, -2.000000000000135]","[0.9913255572319031, -0.13002420961856842, -0.019103609025478363, 0.001572981826029718]","[[0.9992651557578196, 0.001849189014787049, -0.03828484018888064], [0.008086536871227226, 0.9661824639086752, 0.2577325248329978], [0.03746673737771707, -0.2578527233428981, 0.9654575167530263]]","[-1.7435057163238525, -1.0961593389511108, -0.008485083468258381]",[1.0],"[0.9604237489778091, -0.2491689908200697, -0.12051347990534586, 0.2491689908200697]",[0.594],"[0.0, 0.0, 0.0]","[529.508056640625, 529.8699340820312, 529.8699340820312, 529.508056640625]"
6,0.08,"[0.00033661548513919115, 0.6289272904396057, -0.8947510123252869]","[0.3998933418663416, 0.39957346984586345, -10.16]","[0.01850963942706585, 0.673503041267395, -0.1914483606815338]","[4.9964795822979635, 4.9859233158199565, -1.9999999999999574]","[0.9893887639045715, -0.1423148810863495, -0.02915171906352043, 0.0025607512798160315]","[[0.9982872397113276, 0.0032302896747965068, -0.05841363075648749], [0.013364603527249806, 0.9594798356326352, 0.28146017904302356], [0.05695589874716911, -0.28175878024116363, 0.9577933051315999]]","[-1.2055587768554688, -1.1601513624191284, -0.013517851009964943]",[1.0],"[0.958874785958661, -0.24647338181781608, -0.1363167401506334, 0.24647338181781608]",[0.594],"[0.0, 0.0, 0.0]","[529.508056640625, 529.8699340820312, 529.8699340820312, 529.508056640625]"
7,0.09,"[0.0007027350948192179, 0.6387609243392944, -0.8979524970054626]","[0.44984814037660237, 0.4493927459900553, -10.18]","[0.030839715152978897, 0.6373681426048279, -0.2339070737361908]","[4.995479851026074, 4.981927614419185, -1.9999999999999574]","[0.9876858592033386, -0.15166500210762024, -0.0382416807115078, 0.003465977730229497]","[[0.9970511219114039, 0.004753254460994869, -0.07659286433630638], [0.018446442293133417, 0.9539714314201657, 0.29932964571002], [0.07449019440125593, -0.29985982492856394, 0.9510706053347848]]","[-1.3517906665802002, -1.2847034931182861, -0.018928712233901024]",[1.0],"[0.9623914372353366, -0.22242861618967216, -0.15196905313741013, 0.22242861618967216]",[0.594],"[0.0, 0.0, 0.0]","[529.508056640625, 529.8699340820312, 529.8699340820312, 529.508056640625]"
8,0.1,"[0.0012796068331226707, 0.6480289101600647, -0.9017674922943115]","[0.49979169270678325, 0.4991670832341407, -10.2]","[0.046658705919981, 0.597967267036438, -0.27351313829421997]","[4.994355233018088, 4.977433724408542, -1.9999999999999574]","[0.9856399893760681, -0.16175325214862823, -0.04827016219496727, 0.0044393641874194145]","[[0.9953005670673828, 0.006864481556928471, -0.0965901655879151], [0.02436694069334215, 0.9476323559642015, 0.3184323635106584], [0.09371783926549639, -0.31928951881120615, 0.9430117548475815]]","[-1.3053802251815796, -1.3796178102493286, -0.026218513026833534]",[1.0],"[0.9655111408740208, -0.19710066090152722, -0.16667872482736257, 0.19710066090152722]",[0.594],"[0.0, 0.0, 0.0]","[529.508056640625, 529.8699340820312, 529.8699340820312, 529.508056640625]"
9,0.11,"[0.0023075551725924015, 0.658394455909729, -0.9069197773933411]","[0.5497227502706772, 0.548891504185874, -10.22]","[0.06803057342767715, 0.5543642044067383, -0.2948397696018219]","[4.993105756389393, 4.9724420951733235, -2.000000000000135]","[0.9834893345832825, -0.1703461855649948, -0.06080560013651848, 0.005796794779598713]","[[0.9925381524590545, 0.009313832239712968, -0.1215782400027947], [0.03211817519094525, 0.9418971495141026, 0.33436235218638455], [0.11762839255711359, -0.3357722625027544, 0.9345697132896031]]","[-0.591325581073761, -1.4222286939620972, -0.03586890548467636]",[1.0],"[0.9682431109108292, -0.17068778642567906, -0.17990317643609188, 0.17068778642567906]",[0.594],"[0.0, 0.0, 0.0]","[529.508056640625, 529.8699340820312, 529.8699340820312, 529.508056640625]"
