idx,t,p,p_d,v,v_d,q,R,w,T_sp,q_sp,hover_throttle,fa,pwm
0,0.02,"[5.020672916006394e-16, 0.0007856854936107993, -0.8442611694335938]","[0.09999833334166665, 0.09999333346666539, -10.04]","[6.688519773841509e-14, 0.04993797093629837, -0.013156628236174583]","[4.9998541674739565, 4.999416679583207, -1.9999999999999574]","[1.0, -7.085482502589002e-05, 7.584431609644022e-17, -3.5222358883701954e-12]","[[1.0, 7.044471730626409e-12, 6.508234440662433e-16], [-7.044471752122152e-12, 0.9999999899591876, 0.00014170964934034002], [3.4744618120355956e-16, -0.00014170964934034002, 0.9999999899591876]]","[-0.019847631454467773, 4.7256449242031456e-14, -7.827024028905782e-10]",[1.0],"[0.9991068683176846, 0.022652527067209105, -0.035660552256725146, -0.022652527067209105]",[0.594],"[1.6917568145796106e-12, 0.7184632863416426, 6.704901835722087]","[529.3025512695312, 529.6624145507812, 529.6624145507812, 529.3025512695312]"
1,0.03,"[9.388181787528538e-09, 0.6124306917190552, -0.8886240124702454]","[0.1499943750632809, 0.14997750101247828, -10.06]","[3.397752479372684e-08, 0.7485789060592651, -0.05861968547105789]","[4.999604172161424, 4.998416754581289, -2.000000000000135]","[0.9964088201522827, -0.08467308431863785, -5.179536799460038e-09, 1.2272889371445217e-09]","[[0.9999999999999999, -1.5686282245873937e-09, -1.0529708264968661e-08], [3.3228975297561204e-09, 0.9856609385602169, 0.16873800460060057], [1.0114034934637224e-08, -0.16873800460060057, 0.9856609385602169]]","[-0.12252509593963623, -7.827112824543292e-08, -4.8599604340893165e-09]",[1.0],"[0.9663177990375904, -0.25173162312800085, -0.05176172701925372, 0.25173162312800085]",[0.594],"[6.800481883433149e-07, 20.88163715371087, 5.325541580481023]","[529.3025512695312, 529.6624145507812, 529.6624145507812, 529.3025512695312]"
2,0.04,"[9.909229881088777e-09, 0.6236300468444824, -0.8894994854927063]","[0.1999866669333308, 0.1999466709331708, -10.08]","[3.553015304191831e-08, 0.7445204854011536, -0.05855357274413109]","[4.999229187004992, 4.996916992069253, -1.9999999999999574]","[0.9963484406471252, -0.08538050204515457, -5.0436967285349965e-05, 4.323806024331134e-06]","[[0.9999999948748343, -3.3676029282928873e-09, -0.00010124392002291218], [1.7228701132149584e-05, 0.985420340401602, 0.17013745156773344], [9.976724517719057e-05, -0.17013745244005204, 0.9854203353512174]]","[-0.031254127621650696, -0.06544280052185059, 5.230640454101376e-08]",[1.0],"[0.9652409191590313, -0.251449822480224, -0.06899226624887317, 0.251449822480224]",[0.594],"[-0.0016713803299664345, 16.25500473870751, 5.610445975550363]","[529.3025512695312, 529.6624145507812, 529.6624145507812, 529.3025512695312]"
3,0.05,"[4.36433936101821e-07, 0.6347736716270447, -0.890333890914917]","[0.24997395914712334, 0.24989584635339168, -10.1]","[0.0001254468661500141, 0.7412367463111877, -0.0521218478679657]","[4.998729221379253, 4.994917542022087, -1.9999999999999574]","[0.9959492683410645, -0.08989399671554565, -0.0020343984942883253, 0.00017260064487345517]","[[0.9999916628639371, 2.195745020028842e-05, -0.004083346726422543], [0.000709563363631315, 0.9838380798433874, 0.17905901030082055], [0.004021283681959929, -0.17906041485472646, 0.9838298618712498]]","[-1.3812021017074585, -0.4839828908443451, -0.00022076501045376062]",[1.0],"[0.963860188392217, -0.2510262238216326, -0.08633536306805337, 0.2510262238216326]",[0.594],"[-0.06428465135955568, 12.940679262018605, 5.96043938289972]","[529.3025512695312, 529.6624145507812, 529.6624145507812, 529.3025512695312]"
4,0.06,"[1.3029454748902936e-05, 0.6480246186256409, -0.8913846611976624]","[0.2999550020249566, 0.299820032397223, -10.12]","[0.0018087944481521845, 0.7272441983222961, -0.07743652909994125]","[4.998104287783328, 4.992418604383131, -1.9999999999999574]","[0.9939857721328735, -0.10915647447109222, -0.008755841292440891, 0.0007304403698071837]","[[0.999845603407886, 0.0004594188403577587, -0.017565827058510505], [0.0033636080367478796, 0.9761686622535943, 0.21698716315718589], [0.017246897891954386, -0.21701274563572806, 0.9760163998339102]]","[-2.5881125926971436, -0.9896818995475769, -0.0029111665207892656]",[1.0],"[0.9622166296607203, -0.2502934812568466, -0.10374971130563662, 0.2502934812568466]",[0.594],"[-0.24543501188226302, 10.706272010493821, 5.3152204496572555]","[529.3025512695312, 529.6624145507812, 529.6624145507812, 529.3025512695312]"
5,0.07,"[6.792208296246827e-05, 0.6587685346603394, -0.8928641080856323]","[0.349928546043362, 0.3497142366876639, -10.14]","[0.005990182980895042, 0.7045718431472778, -0.11687929928302765]","[4.9973544018405365, 4.989420429044089, -2.000000000000135]","[0.9917444586753845, -0.12708157300949097, -0.0170635636895895, 0.0014548342442139983]","[[0.9994134365495576, 0.001451281314631399, -0.03421515200534993], [0.0072225760571581685, 0.9676963170779123, 0.2520152223754416], [0.03347562156707422, -0.2521145209947069, 0.9671182197975113]]","[-2.0518155097961426, -1.1699978113174438, -0.00728114228695631]",[1.0],"[0.960360673044699, -0.24925937893699274, -0.12080568694996274, 0.24925937893699274]",[0.594],"[-0.4265374928045718, 8.924818492211894, 4.426739418186191]","[529.3025512695312, 529.6624145507812, 529.6624145507812, 529.3025512695312]"
6,0.08,"[0.0002075478550978005, 0.6691364049911499, -0.894867479801178]","[0.3998933418663416, 0.39957346984586345, -10.16]","[0.013305509462952614, 0.6762853264808655, -0.1521693468093872]","[4.9964795822979635, 4.9859233158199565, -1.9999999999999574]","[0.9899166822433472, -0.13924309611320496, -0.025903720408678055, 0.002312423661351204]","[[0.9986472999689782, 0.0026356148707085744, -0.051929026554741346], [0.0117920416528316, 0.9612120268350691, 0.27555831909284884], [0.05064107046980363, -0.2757979205901881, 0.9598807160162145]]","[-1.3090646266937256, -1.1870852708816528, -0.011647728271782398]",[1.0],"[0.9583479317316699, -0.2479558796920506, -0.13721081760414022, 0.2479558796920506]",[0.594],"[-0.5700472267546715, 7.40570923893311, 3.8564198816443067]","[529.3025512695312, 529.6624145507812, 529.6624145507812, 529.3025512695312]"
7,0.09,"[0.0005655185668729246, 0.6809231042861938, -0.8981189131736755]","[0.44984814037660237, 0.4493927459900553, -10.18]","[0.027270130813121796, 0.632857084274292, -0.20737840235233307]","[4.995479851026074, 4.981927614419185, -1.9999999999999574]","[0.9879930019378662, -0.14998246729373932, -0.036923013627529144, 0.0034466739743947983]","[[0.9972496232837831, 0.0042650294040116835, -0.07399323201844706], [0.017886187096691902, 0.9549867644265027, 0.2961087031502819], [0.07192546956047598, -0.2966177494594391, 0.9522839059514355]]","[-1.2522906064987183, -1.294105052947998, -0.017778601497411728]",[1.0],"[0.9590281615961073, -0.23580311655993336, -0.15249893489433422, 0.23580311655993336]",[0.594],"[-0.6557455589861639, 5.9361361843781335, 2.8928432252259455]","[529.3025512695312, 529.6624145507812, 529.6624145507812, 529.3025512695312]"
8,0.1,"[0.0010836604051291943, 0.6901345252990723, -0.9015199542045593]","[0.49979169270678325, 0.4991670832341407, -10.2]","[0.04253215342760086, 0.5944997668266296, -0.24629291892051697]","[4.994355233018088, 4.977433724408542, -1.9999999999999574]","[0.9860246181488037, -0.1597507745027542, -0.04706662520766258, 0.0044546062126755714]","[[0.9955297784082836, 0.006253157078979922, -0.0942409588708614], [0.02382256319580196, 0.9489196914379808, 0.31461707627531804], [0.09139445161023621, -0.31545572942616346, 0.9445288439148226]]","[-1.3293401002883911, -1.4245092868804932, -0.024812210351228714]",[1.0],"[0.9623896772815417, -0.21074345672369546, -0.16747636323468143, 0.21074345672369546]",[0.594],"[-0.7488810061488338, 5.014927933252739, 2.5468205148709195]","[529.3025512695312, 529.6624145507812, 529.6624145507812, 529.3025512695312]"
9,0.11,"[0.0018553254194557667, 0.6987572312355042, -0.9054518342018127]","[0.5497227502706772, 0.548891504185874, -10.22]","[0.06069161370396614, 0.5557321906089783, -0.2742931842803955]","[4.993105756389393, 4.9724420951733235, -2.000000000000135]","[0.9840028882026672, -0.1683582067489624, -0.05798819661140442, 0.005589090753346682]","[[0.9932122624989796, 0.008526214371204266, -0.11600304000393324], [0.030524939295775967, 0.9432485547632404, 0.33068170801852254], [0.1122391629630543, -0.3319781131423493, 0.936585768999187]]","[-0.9676721096038818, -1.4800422191619873, -0.033256616443395615]",[1.0],"[0.9651809912774443, -0.18509433287813123, -0.18153187185263026, 0.18509433287813123]",[0.594],"[-0.8548406500670991, 4.351397776224755, 2.5267737712170355]","[529.3025512695312, 529.6624145507812, 529.6624145507812, 529.3025512695312]"
