filename,method,condition,n_samples_after_t0,t0_seconds,mae_x,mae_y,mae_z,mae_3d,rmse_3d
simpleflight_circle_pid_nowind,PID,nowind,4001,20.000000,0.906229,0.879643,0.005118,1.401336,1.401358
simpleflight_circle_pid_5wind,PID,5wind,4001,20.000000,0.906369,0.897732,0.037871,1.415966,1.416065
simpleflight_circle_pid_10wind,PID,10wind,4001,20.000000,0.906474,0.917706,0.119695,1.436457,1.437348
simpleflight_circle_pid_12wind,PID,12wind,4001,20.000000,0.905829,0.925622,0.187246,1.450731,1.452650
simpleflight_circle_pid_13p5wind,PID,13p5wind,4001,20.000000,0.906168,0.932971,0.256383,1.468584,1.472390
simpleflight_circle_pid_15wind,PID,15wind,4001,20.000000,0.906175,0.940805,0.322238,1.488900,1.499030
simpleflight_circle_pid_10sint,PID,10sint,4001,20.000000,0.905894,0.896659,0.068486,1.416654,1.417663
simpleflight_circle_pid_18sint,PID,18sint,4001,20.000000,0.905610,0.955382,0.565774,1.578521,1.600314
simpleflight_circle_pid_gusts,PID,gusts,4001,20.000000,0.906387,0.879621,0.006050,1.401578,1.401597
simpleflight_circle_pid_ou15,PID,ou15,4001,20.000000,0.909321,0.953414,0.395468,1.519815,1.532730
simpleflight_circle_adaptive_nowind,Adaptive,nowind,4001,20.000000,0.428206,0.407957,1.221205,1.386797,1.386833
simpleflight_circle_adaptive_5wind,Adaptive,5wind,4001,20.000000,0.427686,0.399081,1.219610,1.381893,1.381939
simpleflight_circle_adaptive_10wind,Adaptive,10wind,4001,20.000000,0.427274,0.390178,1.219965,1.378912,1.379052
simpleflight_circle_adaptive_12wind,Adaptive,12wind,4001,20.000000,0.428114,0.387395,1.222841,1.380834,1.381183
simpleflight_circle_adaptive_13p5wind,Adaptive,13p5wind,4001,20.000000,0.428338,0.386308,1.226146,1.383654,1.384199
simpleflight_circle_adaptive_15wind,Adaptive,15wind,4001,20.000000,0.428113,0.382724,1.223968,1.380328,1.381207
simpleflight_circle_adaptive_10sint,Adaptive,10sint,4001,20.000000,0.427754,0.400915,1.219941,1.382736,1.382981
simpleflight_circle_adaptive_18sint,Adaptive,18sint,4001,20.000000,0.428200,0.382891,1.222631,1.385954,1.392289
simpleflight_circle_adaptive_gusts,Adaptive,gusts,4001,20.000000,0.428783,0.408396,1.222108,1.387836,1.387914
simpleflight_circle_adaptive_ou15,Adaptive,ou15,4001,20.000000,0.424846,0.386091,1.216464,1.373858,1.375990
simpleflight_circle_nnadaptive_nowind,NNAdaptive,nowind,4001,20.000000,0.447074,0.433398,34.033275,34.055986,52.630106
simpleflight_circle_nnadaptive_5wind,NNAdaptive,5wind,4001,20.000000,0.447693,0.422202,48.570781,48.590169,72.369795
simpleflight_circle_nnadaptive_10wind,NNAdaptive,10wind,4001,20.000000,0.446865,0.414482,40.935089,40.957806,61.777133
simpleflight_circle_nnadaptive_12wind,NNAdaptive,12wind,4001,20.000000,0.446674,0.414510,70.145097,70.160299,94.524824
simpleflight_circle_nnadaptive_13p5wind,NNAdaptive,13p5wind,4001,20.000000,0.448564,0.417837,51.642865,51.661329,71.831887
simpleflight_circle_nnadaptive_15wind,NNAdaptive,15wind,4001,20.000000,0.447930,0.422810,5.686964,5.736280,6.131284
simpleflight_circle_nnadaptive_10sint,NNAdaptive,10sint,4001,20.000000,0.446436,0.423918,5.322022,5.368611,5.533302
simpleflight_circle_nnadaptive_18sint,NNAdaptive,18sint,4001,20.000000,0.445741,0.413726,43.447586,43.469773,62.411271
simpleflight_circle_nnadaptive_gusts,NNAdaptive,gusts,4001,20.000000,0.446137,0.433183,17.359005,17.389392,26.976939
simpleflight_circle_nnadaptive_ou15,NNAdaptive,ou15,4001,20.000000,0.444049,0.442297,29.617223,29.646754,43.398445
simpleflight_circle_metapinn_nowind,MetaPINN,nowind,4001,20.000000,0.435767,0.430736,0.336130,0.777865,0.798157
simpleflight_circle_metapinn_5wind,MetaPINN,5wind,4001,20.000000,0.433998,0.421679,0.359430,0.770698,0.785155
simpleflight_circle_metapinn_10wind,MetaPINN,10wind,4001,20.000000,0.435580,0.428879,0.114616,0.691196,0.716770
simpleflight_circle_metapinn_12wind,MetaPINN,12wind,4001,20.000000,0.437318,0.436248,0.151865,0.719545,0.740141
simpleflight_circle_metapinn_13p5wind,MetaPINN,13p5wind,4001,20.000000,0.437435,0.444360,0.364798,0.836709,0.840602
simpleflight_circle_metapinn_15wind,MetaPINN,15wind,4001,20.000000,0.436679,0.445380,0.686260,1.041972,1.044951
simpleflight_circle_metapinn_10sint,MetaPINN,10sint,4001,20.000000,0.434236,0.429477,0.334200,0.762177,0.781551
simpleflight_circle_metapinn_18sint,MetaPINN,18sint,4001,20.000000,0.435115,0.427190,0.229585,0.744228,0.758316
simpleflight_circle_metapinn_gusts,MetaPINN,gusts,4001,20.000000,0.435972,0.430122,0.337154,0.777572,0.798363
simpleflight_circle_metapinn_ou15,MetaPINN,ou15,4001,20.000000,0.434975,0.427883,0.774169,1.103711,1.121768
