filename,method,condition,phase,t0_seconds,n_samples,mae_x,mae_y,mae_z,mae_3d,rmse_3d
simpleflight_ellipse_pid_13p5wind,PID,13p5wind,all,20.000000,5999,1.518890,2.791423,0.922861,3.666128,3.880052
simpleflight_ellipse_pid_13p5wind,PID,13p5wind,trans,20.000000,1998,1.651279,2.815529,1.299118,3.991777,4.391563
simpleflight_ellipse_pid_13p5wind,PID,13p5wind,steady,20.000000,4001,1.452778,2.779385,0.734967,3.503507,3.597490
simpleflight_ellipse_pid_15wind,PID,15wind,all,20.000000,5999,1.519893,2.805584,1.228132,3.779355,4.008577
simpleflight_ellipse_pid_15wind,PID,15wind,trans,20.000000,1998,1.655654,2.830594,1.643788,4.122191,4.522284
simpleflight_ellipse_pid_15wind,PID,15wind,steady,20.000000,4001,1.452097,2.793095,1.020563,3.608152,3.725620
simpleflight_ellipse_pid_18sint,PID,18sint,all,20.000000,5999,1.522735,2.778519,1.170689,3.818944,4.078744
simpleflight_ellipse_pid_18sint,PID,18sint,trans,20.000000,1998,1.659510,2.787192,1.697084,4.216177,4.677586
simpleflight_ellipse_pid_18sint,PID,18sint,steady,20.000000,4001,1.454433,2.774188,0.907821,3.620576,3.744009
simpleflight_ellipse_pid_gusts,PID,gusts,all,20.000000,5999,1.514175,2.662100,0.309802,3.471996,3.695467
simpleflight_ellipse_pid_gusts,PID,gusts,trans,20.000000,1998,1.640204,2.685945,0.841183,3.839081,4.288059
simpleflight_ellipse_pid_gusts,PID,gusts,steady,20.000000,4001,1.451239,2.650193,0.044444,3.288683,3.360646
simpleflight_ellipse_pid_ou15,PID,ou15,all,20.000000,5999,1.517717,2.802218,1.578616,4.004132,4.337378
simpleflight_ellipse_pid_ou15,PID,ou15,trans,20.000000,1998,1.653472,2.842050,2.050298,4.385022,4.886457
simpleflight_ellipse_pid_ou15,PID,ou15,steady,20.000000,4001,1.449925,2.782327,1.343070,3.813926,4.035308
