filename,method,condition,phase,t0_seconds,n_samples,mae_x,mae_y,mae_z,mae_3d,rmse_3d
simpleflight_fig8_pid_nowind,PID,nowind,all,20.000000,5999,1.771956,1.740647,0.268501,2.808736,2.992117
simpleflight_fig8_pid_nowind,PID,nowind,trans,20.000000,1998,1.785775,1.749152,0.698085,3.074776,3.412710
simpleflight_fig8_pid_nowind,PID,nowind,steady,20.000000,4001,1.765055,1.736400,0.053978,2.675881,2.758177
simpleflight_fig8_pid_13p5wind,PID,13p5wind,all,20.000000,5999,1.772249,1.797547,0.934918,3.000776,3.151084
simpleflight_fig8_pid_13p5wind,PID,13p5wind,trans,20.000000,1998,1.786358,1.805878,1.286797,3.269440,3.540295
simpleflight_fig8_pid_13p5wind,PID,13p5wind,steady,20.000000,4001,1.765203,1.793387,0.759199,2.866612,2.937478
simpleflight_fig8_pid_15wind,PID,15wind,all,20.000000,5999,1.772175,1.800235,1.138285,3.101087,3.245041
simpleflight_fig8_pid_15wind,PID,15wind,trans,20.000000,1998,1.788999,1.813424,1.510326,3.390175,3.649101
simpleflight_fig8_pid_15wind,PID,15wind,steady,20.000000,4001,1.763774,1.793649,0.952497,2.956724,3.023112
simpleflight_fig8_pid_18sint,PID,18sint,all,20.000000,5999,1.775445,1.783287,1.051902,3.130756,3.334976
simpleflight_fig8_pid_18sint,PID,18sint,trans,20.000000,1998,1.792836,1.784751,1.339811,3.386048,3.707769
simpleflight_fig8_pid_18sint,PID,18sint,steady,20.000000,4001,1.766760,1.782556,0.908128,3.003270,3.132246
simpleflight_fig8_pid_gusts,PID,gusts,all,20.000000,5999,1.769603,1.739421,0.267101,2.805360,2.987640
simpleflight_fig8_pid_gusts,PID,gusts,trans,20.000000,1998,1.782025,1.746290,0.693154,3.067878,3.403937
simpleflight_fig8_pid_gusts,PID,gusts,steady,20.000000,4001,1.763399,1.735990,0.054340,2.674265,2.756312
simpleflight_fig8_pid_ou15,PID,ou15,all,20.000000,5999,1.771369,1.801416,1.190977,3.143513,3.298575
simpleflight_fig8_pid_ou15,PID,ou15,trans,20.000000,1998,1.783503,1.813628,1.525498,3.394209,3.656078
simpleflight_fig8_pid_ou15,PID,ou15,steady,20.000000,4001,1.765309,1.795318,1.023926,3.018322,3.104673
simpleflight_fig8_pid_10sint,PID,10sint,all,20.000000,5999,1.770582,1.761804,0.433436,2.840019,3.012625
simpleflight_fig8_pid_10wind,PID,10wind,all,20.000000,5999,1.771326,1.786332,0.604884,2.887312,3.051044
simpleflight_fig8_pid_12wind,PID,12wind,all,20.000000,5999,1.770585,1.792290,0.796694,2.941241,3.099972
simpleflight_fig8_pid_5wind,PID,5wind,all,20.000000,5999,1.768711,1.758760,0.349862,2.822743,2.997815
simpleflight_fig8_pid_10sint,PID,10sint,trans,20.000000,1998,1.784705,1.780768,0.759497,3.096866,3.413744
simpleflight_fig8_pid_10wind,PID,10wind,trans,20.000000,1998,1.782852,1.789390,0.942625,3.136907,3.435235
simpleflight_fig8_pid_12wind,PID,12wind,trans,20.000000,1998,1.786304,1.801015,1.138066,3.205317,3.490774
simpleflight_fig8_pid_5wind,PID,5wind,trans,20.000000,1998,1.781542,1.765384,0.746876,3.078082,3.400278
simpleflight_fig8_pid_10sint,PID,10sint,steady,20.000000,4001,1.763529,1.752333,0.270610,2.711755,2.790815
simpleflight_fig8_pid_10wind,PID,10wind,steady,20.000000,4001,1.765570,1.784805,0.436225,2.762671,2.839797
simpleflight_fig8_pid_12wind,PID,12wind,steady,20.000000,4001,1.762735,1.787933,0.626222,2.809369,2.885064
simpleflight_fig8_pid_5wind,PID,5wind,steady,20.000000,4001,1.762304,1.755453,0.151603,2.695233,2.775068
simpleflight_fig8_adaptive_nowind,Adaptive,nowind,all,20.000000,5999,0.808132,0.858026,1.654067,2.173821,2.580159
simpleflight_fig8_adaptive_nowind,Adaptive,nowind,trans,20.000000,1998,0.809509,0.871378,2.536470,2.986719,3.689199
simpleflight_fig8_adaptive_nowind,Adaptive,nowind,steady,20.000000,4001,0.807444,0.851358,1.213417,1.767880,1.784679
simpleflight_fig8_adaptive_13p5wind,Adaptive,13p5wind,all,20.000000,5999,0.817120,0.857489,2.936560,3.399067,4.959055
simpleflight_fig8_adaptive_13p5wind,Adaptive,13p5wind,trans,20.000000,1998,0.821932,0.943999,6.388027,6.693882,8.217096
simpleflight_fig8_adaptive_13p5wind,Adaptive,13p5wind,steady,20.000000,4001,0.814717,0.814287,1.212983,1.753719,1.776183
simpleflight_fig8_adaptive_15wind,Adaptive,15wind,all,20.000000,5999,0.959141,1.781747,9.682611,10.347506,14.065285
simpleflight_fig8_adaptive_15wind,Adaptive,15wind,trans,20.000000,1998,1.149233,1.485751,16.386610,16.599302,18.850911
simpleflight_fig8_adaptive_15wind,Adaptive,15wind,steady,20.000000,4001,0.864214,1.929559,6.334800,7.225514,10.916426
simpleflight_fig8_adaptive_18sint,Adaptive,18sint,all,20.000000,5999,0.815429,0.907301,2.448959,2.921801,3.828265
simpleflight_fig8_adaptive_18sint,Adaptive,18sint,trans,20.000000,1998,0.823573,1.060223,4.208067,4.621584,5.855520
simpleflight_fig8_adaptive_18sint,Adaptive,18sint,steady,20.000000,4001,0.811362,0.830935,1.570504,2.072971,2.202755
simpleflight_fig8_adaptive_gusts,Adaptive,gusts,all,20.000000,5999,0.812787,0.859388,1.656190,2.178148,2.580457
simpleflight_fig8_adaptive_gusts,Adaptive,gusts,trans,20.000000,1998,0.811580,0.873000,2.531606,2.984248,3.682435
simpleflight_fig8_adaptive_gusts,Adaptive,gusts,steady,20.000000,4001,0.813391,0.852591,1.219030,1.775602,1.792284
simpleflight_fig8_adaptive_ou15,Adaptive,ou15,all,20.000000,5999,0.809574,0.852177,3.171898,3.619493,5.291806
simpleflight_fig8_adaptive_ou15,Adaptive,ou15,trans,20.000000,1998,0.801224,0.925621,6.962656,7.218680,8.775976
simpleflight_fig8_adaptive_ou15,Adaptive,ou15,steady,20.000000,4001,0.813744,0.815501,1.278888,1.822149,1.877913
simpleflight_fig8_adaptive_10sint,Adaptive,10sint,all,20.000000,5999,0.813417,0.849769,1.664963,2.177669,2.571013
simpleflight_fig8_adaptive_10wind,Adaptive,10wind,all,20.000000,5999,0.812268,0.831027,1.998158,2.482572,3.190089
simpleflight_fig8_adaptive_12wind,Adaptive,12wind,all,20.000000,5999,0.819213,0.867952,2.462090,2.939837,4.148679
simpleflight_fig8_adaptive_5wind,Adaptive,5wind,all,20.000000,5999,0.814063,0.850094,1.664935,2.179198,2.570622
simpleflight_fig8_adaptive_10sint,Adaptive,10sint,trans,20.000000,1998,0.810880,0.873509,2.557526,2.999429,3.669157
simpleflight_fig8_adaptive_10wind,Adaptive,10wind,trans,20.000000,1998,0.814627,0.855594,3.571270,3.947758,4.928182
simpleflight_fig8_adaptive_12wind,Adaptive,12wind,trans,20.000000,1998,0.830951,0.968560,4.960953,5.313270,6.736233
simpleflight_fig8_adaptive_5wind,Adaptive,5wind,trans,20.000000,1998,0.812460,0.869904,2.556424,2.998730,3.666789
simpleflight_fig8_adaptive_10sint,Adaptive,10sint,steady,20.000000,4001,0.814685,0.837913,1.219240,1.767303,1.785521
simpleflight_fig8_adaptive_10wind,Adaptive,10wind,steady,20.000000,4001,0.811090,0.818759,1.212585,1.750895,1.769274
simpleflight_fig8_adaptive_12wind,Adaptive,12wind,steady,20.000000,4001,0.813351,0.817711,1.214220,1.754603,1.773835
simpleflight_fig8_adaptive_5wind,Adaptive,5wind,steady,20.000000,4001,0.814864,0.840201,1.219748,1.769944,1.787105
simpleflight_fig8_nnadaptive_nowind,NN,nowind,all,20.000000,5999,0.862592,0.891263,5.489239,5.696529,6.220783
simpleflight_fig8_nnadaptive_nowind,NN,nowind,trans,20.000000,1998,0.858073,0.885023,3.519871,3.818128,4.151779
simpleflight_fig8_nnadaptive_nowind,NN,nowind,steady,20.000000,4001,0.864849,0.894379,6.472693,6.634555,7.029593
simpleflight_fig8_nnadaptive_13p5wind,NN,13p5wind,all,20.000000,5999,0.865230,0.895542,15.047457,15.269615,27.072827
simpleflight_fig8_nnadaptive_13p5wind,NN,13p5wind,trans,20.000000,1998,0.863965,0.978399,4.220798,4.609877,5.935064
simpleflight_fig8_nnadaptive_13p5wind,NN,13p5wind,steady,20.000000,4001,0.865862,0.854166,20.454022,20.592824,32.884015
simpleflight_fig8_nnadaptive_15wind,NN,15wind,all,20.000000,5999,0.911376,1.060733,4.103684,4.508460,6.715698
simpleflight_fig8_nnadaptive_15wind,NN,15wind,trans,20.000000,1998,1.011454,1.491973,8.129800,8.577396,11.052538
simpleflight_fig8_nnadaptive_15wind,NN,15wind,steady,20.000000,4001,0.861400,0.845382,2.093141,2.476535,2.572888
simpleflight_fig8_nnadaptive_18sint,NN,18sint,all,20.000000,5999,0.864245,0.928632,3.516686,3.831037,4.254038
simpleflight_fig8_nnadaptive_18sint,NN,18sint,trans,20.000000,1998,0.867162,1.064120,3.551885,3.938186,4.741760
simpleflight_fig8_nnadaptive_18sint,NN,18sint,steady,20.000000,4001,0.862788,0.860973,3.499109,3.777529,3.988216
simpleflight_fig8_nnadaptive_gusts,NN,gusts,all,20.000000,5999,0.859336,0.889254,17.066147,17.233526,30.854659
simpleflight_fig8_nnadaptive_gusts,NN,gusts,trans,20.000000,1998,0.860419,0.884332,3.592731,3.887873,4.217099
simpleflight_fig8_nnadaptive_gusts,NN,gusts,steady,20.000000,4001,0.858795,0.891713,23.794436,23.898014,37.663501
simpleflight_fig8_nnadaptive_ou15,NN,ou15,all,20.000000,5999,0.861979,0.942818,3.281631,3.641925,4.806211
