t,pos,pos_d,vel,"cmd(thr,r,p,y)",fhat,fa_obs,dhat_xyz
0.020000,"[-2.3814193669200725e-16, 0.0002856790670193732, -9.904041290283203]","[0.09999833334166665, 0.09999333346666539, -10.0]","[-3.719663195077966e-14, 0.02008858509361744, 0.04094642028212547]","[1.0, 0.03815922268417076, 0.04607466531127387, 0.0]","[-0.01932443119585514, -0.22274817526340485, 1.08112370967865]","[-9.368850096766468e-13, 0.26612284779548645, 6.583409309387207]","[0.0, 0.0, 0.0]"
0.030000,"[-1.6116814549604896e-08, 0.2493719756603241, -9.91138744354248]","[0.1499943750632809, 0.14997750101247828, -10.0]","[-5.043954942607343e-08, 0.35303252935409546, -0.02755773440003395]","[1.0, -0.18254705780000427, 0.06911058507998995, 0.0]","[0.005734145641326904, -0.19989432394504547, 0.801506757736206]","[-1.0913471442108857e-06, 9.765462875366211, 4.8487348556518555]","[0.0, 0.0, 0.0]"
0.040000,"[-1.704240659705647e-08, 0.2557135224342346, -9.911931037902832]","[0.1999866669333308, 0.1999466709331708, -10.0]","[1.3786033150609e-06, 0.35080286860466003, -0.042642708867788315]","[1.0, -0.1615796672540297, 0.09214786741552597, 0.0]","[0.11425209045410156, -0.40424978733062744, -0.48712754249572754]","[-0.005079757887870073, 7.5688629150390625, 4.924312591552734]","[0.0, 0.0, 0.0]"
0.050000,"[1.022910510073416e-06, 0.26094314455986023, -9.9129056930542]","[0.24997395914712334, 0.24989584635339168, -10.0]","[0.00025765193277038634, 0.3461224138736725, -0.09035571664571762]","[1.0, -0.1391235510885511, 0.11512522233470354, 0.0]","[0.14852334558963776, -0.6058195233345032, -0.7854881286621094]","[-0.0706087052822113, 5.935916900634766, 4.155092239379883]","[0.0, 0.0, 0.0]"
0.060000,"[1.430956217518542e-05, 0.2660776972770691, -9.914794921875]","[0.2999550020249566, 0.299820032397223, -10.0]","[0.0018629672704264522, 0.33780229091644287, -0.1643179953098297]","[1.0, -0.11515056135364032, 0.13760597489919024, 0.0]","[0.22459566593170166, -0.4327177405357361, -0.6085202693939209]","[-0.18287664651870728, 4.750457286834717, 2.9068479537963867]","[0.0, 0.0, 0.0]"
0.070000,"[6.712967297062278e-05, 0.2710683047771454, -9.917799949645996]","[0.349928546043362, 0.3497142366876639, -10.0]","[0.005600414238870144, 0.3272985517978668, -0.23584021627902985]","[1.0, -0.09020623919163843, 0.159223674720032, 0.0]","[0.27642762660980225, -0.4173668324947357, -0.6704626679420471]","[-0.28187626600265503, 3.785623788833618, 2.031924247741699]","[0.0, 0.0, 0.0]"
0.080000,"[0.0001615802466403693, 0.2749384939670563, -9.920995712280273]","[0.3998933418663416, 0.39957346984586345, -10.0]","[0.010511050000786781, 0.3174373507499695, -0.2992202043533325]","[1.0, -0.06499994397357804, 0.1803008728953966, 0.0]","[0.40812045335769653, -0.2747686803340912, -0.47762084007263184]","[-0.33674344420433044, 2.9916958808898926, 1.588104248046875]","[0.0, 0.0, 0.0]"
0.090000,"[0.00038130200118757784, 0.2796010971069336, -9.926153182983398]","[0.44984814037660237, 0.4493927459900553, -10.0]","[0.019244475290179253, 0.30433908104896545, -0.38815316557884216]","[1.0, -0.03885504256714171, 0.19979678725190708, 0.0]","[0.49620452523231506, -0.268626868724823, -0.49102672934532166]","[-0.3557514548301697, 2.2776293754577637, 0.6133012771606445]","[0.0, 0.0, 0.0]"
0.100000,"[0.0008476552902720869, 0.2849435806274414, -9.93409538269043]","[0.49979169270678325, 0.4991670832341407, -10.0]","[0.03334120661020279, 0.28933295607566833, -0.49487194418907166]","[1.0, -0.012204622018899127, 0.21704434846123538, 0.0]","[0.589546799659729, -0.2825113832950592, -0.5915690064430237]","[-0.3475258946418762, 1.674262285232544, -0.5693473815917969]","[0.0, 0.0, 0.0]"
0.110000,"[0.001315740984864533, 0.2883593440055847, -9.940446853637695]","[0.5497227502706772, 0.548891504185874, -10.0]","[0.04503761976957321, 0.2800750732421875, -0.563632071018219]","[1.0, 0.013038008454268188, 0.23515743330677819, 0.0]","[0.6530926823616028, -0.34320831298828125, -0.7555371522903442]","[-0.3946894407272339, 1.3477864265441895, -0.5011148452758789]","[0.0, 0.0, 0.0]"
0.120000,"[0.002117604948580265, 0.2924805283546448, -9.94953727722168]","[0.5996400647944459, 0.5985610364445967, -10.0]","[0.062462806701660156, 0.2696586847305298, -0.648521363735199]","[1.0, 0.038437509844240034, 0.2508368481927796, 0.0]","[0.7426573634147644, -0.3895627558231354, -0.8858906030654907]","[-0.3783355951309204, 1.0005556344985962, -0.8581790924072266]","[0.0, 0.0, 0.0]"
0.130000,"[0.0034634738694876432, 0.2972373962402344, -9.962154388427734]","[0.6495423883478258, 0.6481707130984742, -10.0]","[0.08806410431861877, 0.25932204723358154, -0.7548660039901733]","[1.0, 0.0635129169732181, 0.2630334275656924, 0.0]","[0.8618394136428833, -0.39130502939224243, -0.9704427719116211]","[-0.2709214687347412, 0.6331584453582764, -1.6701574325561523]","[0.0, 0.0, 0.0]"
0.140000,"[0.0046377177350223064, 0.3003169000148773, -9.971651077270508]","[0.6994284733753275, 0.6977155732211823, -10.0]","[0.10802850872278214, 0.25423330068588257, -0.8276770710945129]","[1.0, 0.08720623599505715, 0.27748338983618626, 0.0]","[0.9456409215927124, -0.41298311948776245, -1.0577678680419922]","[-0.3115963935852051, 0.4966048002243042, -1.437997817993164]","[0.0, 0.0, 0.0]"
0.150000,"[0.006876499857753515, 0.3048490285873413, -9.987491607666016]","[0.7492970727274234, 0.7471906623679961, -10.0]","[0.14151085913181305, 0.250053346157074, -0.9317809343338013]","[1.0, 0.10984285594793157, 0.286164249134477, 0.0]","[1.0213127136230469, -0.4421535134315491, -1.1249840259552002]","[-0.14421606063842773, 0.28671666979789734, -2.0641613006591797]","[0.0, 0.0, 0.0]"
0.160000,"[0.00923216063529253, 0.30859386920928955, -10.002120018005371]","[0.799146939691727, 0.79659103307123, -10.0]","[0.17327997088432312, 0.24979788064956665, -1.0194292068481445]","[1.0, 0.1311994197109742, 0.2954716676013515, 0.0]","[1.0287201404571533, -0.40249454975128174, -1.0402846336364746]","[-0.08263897895812988, 0.17675349116325378, -2.126018524169922]","[0.0, 0.0, 0.0]"
0.170000,"[0.01209146436303854, 0.312359094619751, -10.018075942993164]","[0.8489768280241603, 0.84591174533498, -10.0]","[0.2085573375225067, 0.25282880663871765, -1.1081128120422363]","[1.0, 0.1511543304102657, 0.3032116610204529, 0.0]","[1.0171178579330444, -0.3552483916282654, -0.9614294767379761]","[0.0029954910278320312, 0.11391618847846985, -2.2089662551879883]","[0.0, 0.0, 0.0]"
0.180000,"[0.015502773225307465, 0.31619536876678467, -10.035351753234863]","[0.8987854919801106, 0.895147867129121, -10.0]","[0.24677042663097382, 0.25928062200546265, -1.1949858665466309]","[1.0, 0.16962805384814264, 0.30959774128786743, 0.0]","[1.0243982076644897, -0.2956136167049408, -0.8964841961860657]","[0.0964345932006836, 0.08916857838630676, -2.236978530883789]","[0.0, 0.0, 0.0]"
0.190000,"[0.019509123638272285, 0.32015460729599, -10.053922653198242]","[0.9485716863455731, 0.9442944748825031, -10.0]","[0.2879997491836548, 0.2692674994468689, -1.2813918590545654]","[1.0, 0.18654782235380873, 0.3145903040042199, 0.0]","[1.073668122291565, -0.14608222246170044, -0.8657515645027161]","[0.19544458389282227, 0.0792544037103653, -2.2596616744995117]","[0.0, 0.0, 0.0]"
0.200000,"[0.024158932268619537, 0.32429200410842896, -10.07380199432373]","[0.9983341664682817, 0.9933466539753062, -10.0]","[0.3325191140174866, 0.2830779552459717, -1.3692171573638916]","[1.0, 0.20177107080284942, 0.3180717722042626, 0.0]","[1.1668810844421387, 0.05201806128025055, -0.8742382526397705]","[0.3097243309020996, 0.09425598382949829, -2.3270273208618164]","[0.0, 0.0, 0.0]"
0.210000,"[0.029499445110559464, 0.3286658227443695, -10.095003128051758]","[1.048071688288825, 1.042299499230498, -10.0]","[0.38004106283187866, 0.300762414932251, -1.4575016498565674]","[1.0, 0.2152598423719038, 0.3201327578778718, 0.0]","[1.2596218585968018, 0.22118888795375824, -0.8285470604896545]","[0.4365670680999756, 0.1478290557861328, -2.4029808044433594]","[0.0, 0.0, 0.0]"
